seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
1,1,card3,card3 <= 0.00,-0.177598,0.030796
1,1,TA,-0.36 < TA <= 0.02,0.162951,0.030796
1,1,card5,-0.03 < card5 <= 0.00,0.125374,0.030796
1,1,PCD,PCD <= -0.34,0.064512,0.030796
1,1,M5,0.01 < M5 <= 0.19,0.026568,0.030796
1,1,DT,DT <= -0.62,-0.025009,0.030796
1,1,M4,M4 > 0.14,-0.022775,0.030796
1,1,card4,card4 <= -0.55,0.020341,0.030796
1,1,M6,-0.23 < M6 <= 0.15,0.018829,0.030796
1,1,M1,M1 <= -0.75,-0.014716,0.030796
1,2,card3,card3 <= 0.00,-0.145233,0.029395
1,2,TA,-0.36 < TA <= 0.02,0.114728,0.029395
1,2,card5,-0.03 < card5 <= 0.00,0.100535,0.029395
1,2,card1,card1 <= -0.45,-0.037746,0.029395
1,2,card6,card6 > 2.36,-0.028448,0.029395
1,2,DT,DT <= -0.60,-0.022817,0.029395
1,2,M5,-0.65 < M5 <= 0.01,-0.018449,0.029395
1,2,PCD,PCD <= -0.36,0.017198,0.029395
1,2,M6,M6 <= -0.26,0.014887,0.029395
1,2,M2,M2 <= -0.77,0.014356,0.029395
1,3,card3,card3 <= 0.00,-0.154842,0.029429
1,3,TA,TA > 0.95,-0.078716,0.029429
1,3,card5,card5 <= -1.00,-0.060123,0.029429
1,3,card6,card6 > 2.40,-0.031689,0.029429
1,3,PCD,PCD <= -0.35,0.031476,0.029429
1,3,M7,M7 <= -0.72,0.031240,0.029429
1,3,M5,M5 <= -0.62,-0.031067,0.029429
1,3,M2,M2 <= -0.76,-0.022230,0.029429
1,3,M9,M9 <= -0.71,-0.021146,0.029429
1,3,DT,DT <= -0.61,-0.017471,0.029429
1,4,card3,card3 <= 0.00,-0.181703,0.029510
1,4,card5,-1.00 < card5 <= -0.03,-0.047497,0.029510
1,4,M8,-0.46 < M8 <= 0.16,-0.046059,0.029510
1,4,PCD,PCD <= -0.30,0.043532,0.029510
1,4,M5,0.01 < M5 <= 0.17,0.032364,0.029510
1,4,M7,M7 <= -0.75,0.025566,0.029510
1,4,card6,card6 <= -0.09,-0.016385,0.029510
1,4,DT,DT <= -0.62,-0.011447,0.029510
1,4,M6,-0.34 < M6 <= 0.13,0.011204,0.029510
1,4,card1,card1 > 0.48,-0.011106,0.029510
1,5,card3,card3 > 0.00,0.159654,0.029553
1,5,TA,-0.36 < TA <= 0.02,0.091399,0.029553
1,5,PCD,PCD > 36.79,-0.053660,0.029553
1,5,DI,DI <= -0.68,-0.041360,0.029553
1,5,M5,M5 <= -0.65,-0.031100,0.029553
1,5,card5,-1.00 < card5 <= -0.03,-0.029810,0.029553
1,5,M2,M2 <= -0.74,-0.025477,0.029553
1,5,card1,card1 <= -0.45,-0.022676,0.029553
1,5,M4,M4 > 0.16,-0.019621,0.029553
1,5,M7,M7 <= -0.69,0.018991,0.029553
