seed,fold,feature,shap_importance,time_to_generate
1,1,TA,0.044583,0.016791
1,1,card1,0.007917,0.016791
1,1,card2,0.002500,0.016791
1,1,card3,0.064167,0.016791
1,1,card5,0.017917,0.016791
1,1,PCD,0.172500,0.016791
1,1,M1,0.098333,0.016791
1,1,M2,0.059583,0.016791
1,1,M3,0.077917,0.016791
1,1,M4,0.065833,0.016791
1,1,card4,0.037500,0.016791
1,1,card6,0.218750,0.016791
1,1,DT,0.026667,0.016791
1,1,DI,0.042917,0.016791
1,1,M5,0.019167,0.016791
1,1,M6,0.015417,0.016791
1,1,M7,0.024167,0.016791
1,1,M8,0.017083,0.016791
1,1,M9,0.040417,0.016791
1,2,TA,0.036667,0.016698
1,2,card1,0.055000,0.016698
1,2,card2,0.000417,0.016698
1,2,card3,0.037083,0.016698
1,2,card5,0.032500,0.016698
1,2,PCD,0.078750,0.016698
1,2,M1,0.238333,0.016698
1,2,M2,0.100417,0.016698
1,2,M3,0.148333,0.016698
1,2,M4,0.045000,0.016698
1,2,card4,0.040000,0.016698
1,2,card6,0.457083,0.016698
1,2,DT,0.035417,0.016698
1,2,DI,0.035833,0.016698
1,2,M5,0.035000,0.016698
1,2,M6,0.142083,0.016698
1,2,M7,0.040417,0.016698
1,2,M8,0.008333,0.016698
1,2,M9,0.063333,0.016698
1,3,TA,0.015833,0.016029
1,3,card1,0.035833,0.016029
1,3,card2,0.000417,0.016029
1,3,card3,0.091250,0.016029
1,3,card5,0.083750,0.016029
1,3,PCD,0.155417,0.016029
1,3,M1,0.176667,0.016029
1,3,M2,0.174583,0.016029
1,3,M3,0.091667,0.016029
1,3,M4,0.024167,0.016029
1,3,card4,0.012083,0.016029
1,3,card6,0.241250,0.016029
1,3,DT,0.026250,0.016029
1,3,DI,0.015000,0.016029
1,3,M5,0.307500,0.016029
1,3,M6,0.220000,0.016029
1,3,M7,0.052500,0.016029
1,3,M8,0.019583,0.016029
1,3,M9,0.088750,0.016029
1,4,TA,0.023750,0.015834
1,4,card1,0.010833,0.015834
1,4,card2,0.001250,0.015834
1,4,card3,0.080000,0.015834
1,4,card5,0.022500,0.015834
1,4,PCD,0.209167,0.015834
1,4,M1,0.129583,0.015834
1,4,M2,0.133750,0.015834
1,4,M3,0.103750,0.015834
1,4,M4,0.036250,0.015834
1,4,card4,0.006667,0.015834
1,4,card6,0.260000,0.015834
1,4,DT,0.044583,0.015834
1,4,DI,0.020000,0.015834
1,4,M5,0.061250,0.015834
1,4,M6,0.027500,0.015834
1,4,M7,0.031250,0.015834
1,4,M8,0.028333,0.015834
1,4,M9,0.070417,0.015834
1,5,TA,0.042083,0.015846
1,5,card1,0.010833,0.015846
1,5,card2,0.000417,0.015846
1,5,card3,0.225000,0.015846
1,5,card5,0.009583,0.015846
1,5,PCD,0.375833,0.015846
1,5,M1,0.134167,0.015846
1,5,M2,0.104167,0.015846
1,5,M3,0.055833,0.015846
1,5,M4,0.101250,0.015846
1,5,card4,0.002500,0.015846
1,5,card6,0.081250,0.015846
1,5,DT,0.082917,0.015846
1,5,DI,0.008750,0.015846
1,5,M5,0.110833,0.015846
1,5,M6,0.002917,0.015846
1,5,M7,0.022917,0.015846
1,5,M8,0.010417,0.015846
1,5,M9,0.057500,0.015846
