seed,fold,feature,model_importance
1,1,TA,0.081487
1,1,card1,0.083857
1,1,card2,0.006429
1,1,card3,0.020980
1,1,card5,0.137747
1,1,PCD,0.022912
1,1,M1,0.443395
1,1,M2,0.394048
1,1,M3,0.414695
1,1,M4,0.014764
1,1,card4,0.073841
1,1,card6,0.257237
1,1,DT,0.024340
1,1,DI,0.022174
1,1,M5,0.609086
1,1,M6,0.533245
1,1,M7,0.206416
1,1,M8,0.223331
1,1,M9,0.301935
1,2,TA,0.080026
1,2,card1,0.091820
1,2,card2,0.009659
1,2,card3,0.020930
1,2,card5,0.145179
1,2,PCD,0.017603
1,2,M1,0.551072
1,2,M2,0.397305
1,2,M3,0.479003
1,2,M4,0.016195
1,2,card4,0.098972
1,2,card6,0.238154
1,2,DT,0.025824
1,2,DI,0.021196
1,2,M5,0.611924
1,2,M6,0.523725
1,2,M7,0.168903
1,2,M8,0.209405
1,2,M9,0.197434
1,3,TA,0.079085
1,3,card1,0.101920
1,3,card2,0.015200
1,3,card3,0.020910
1,3,card5,0.140954
1,3,PCD,0.018289
1,3,M1,0.601804
1,3,M2,0.332067
1,3,M3,0.314140
1,3,M4,0.016041
1,3,card4,0.091127
1,3,card6,0.248537
1,3,DT,0.024867
1,3,DI,0.021747
1,3,M5,0.621244
1,3,M6,0.522470
1,3,M7,0.179705
1,3,M8,0.195151
1,3,M9,0.230794
1,4,TA,0.080977
1,4,card1,0.092644
1,4,card2,0.016648
1,4,card3,0.021017
1,4,card5,0.152819
1,4,PCD,0.023367
1,4,M1,0.432388
1,4,M2,0.279016
1,4,M3,0.425318
1,4,M4,0.015371
1,4,card4,0.075844
1,4,card6,0.259357
1,4,DT,0.024084
1,4,DI,0.020885
1,4,M5,0.616822
1,4,M6,0.511692
1,4,M7,0.159494
1,4,M8,0.202886
1,4,M9,0.193413
1,5,TA,0.081878
1,5,card1,0.114328
1,5,card2,0.010736
1,5,card3,0.020728
1,5,card5,0.145631
1,5,PCD,0.014261
1,5,M1,0.499162
1,5,M2,0.347054
1,5,M3,0.374346
1,5,M4,0.015083
1,5,card4,0.078873
1,5,card6,0.229894
1,5,DT,0.024788
1,5,DI,0.020134
1,5,M5,0.596469
1,5,M6,0.520873
1,5,M7,0.187539
1,5,M8,0.204988
1,5,M9,0.241985
