seed,fold,feature,shap_importance,time_to_generate
1,1,TA,0.044167,2.335961
1,1,card1,0.011667,2.335961
1,1,card2,0.000833,2.335961
1,1,card3,0.066667,2.335961
1,1,card5,0.018333,2.335961
1,1,PCD,0.162500,2.335961
1,1,M1,0.100417,2.335961
1,1,M2,0.067917,2.335961
1,1,M3,0.069167,2.335961
1,1,M4,0.056667,2.335961
1,1,card4,0.035833,2.335961
1,1,card6,0.227083,2.335961
1,1,DT,0.024167,2.335961
1,1,DI,0.047500,2.335961
1,1,M5,0.023333,2.335961
1,1,M6,0.015417,2.335961
1,1,M7,0.023333,2.335961
1,1,M8,0.022500,2.335961
1,1,M9,0.041667,2.335961
1,2,TA,0.037917,0.016358
1,2,card1,0.055000,0.016358
1,2,card2,0.000833,0.016358
1,2,card3,0.039583,0.016358
1,2,card5,0.040833,0.016358
1,2,PCD,0.072083,0.016358
1,2,M1,0.240417,0.016358
1,2,M2,0.089167,0.016358
1,2,M3,0.141250,0.016358
1,2,M4,0.040833,0.016358
1,2,card4,0.033750,0.016358
1,2,card6,0.469167,0.016358
1,2,DT,0.033750,0.016358
1,2,DI,0.037917,0.016358
1,2,M5,0.028750,0.016358
1,2,M6,0.142083,0.016358
1,2,M7,0.035833,0.016358
1,2,M8,0.002500,0.016358
1,2,M9,0.035833,0.016358
1,3,TA,0.013333,0.016190
1,3,card1,0.030417,0.016190
1,3,card2,0.000417,0.016190
1,3,card3,0.091667,0.016190
1,3,card5,0.106667,0.016190
1,3,PCD,0.147083,0.016190
1,3,M1,0.177083,0.016190
1,3,M2,0.169167,0.016190
1,3,M3,0.079167,0.016190
1,3,M4,0.018333,0.016190
1,3,card4,0.004583,0.016190
1,3,card6,0.245833,0.016190
1,3,DT,0.027083,0.016190
1,3,DI,0.025417,0.016190
1,3,M5,0.294583,0.016190
1,3,M6,0.233333,0.016190
1,3,M7,0.052083,0.016190
1,3,M8,0.021667,0.016190
1,3,M9,0.082083,0.016190
1,4,TA,0.023333,0.016133
1,4,card1,0.011250,0.016133
1,4,card2,0.001667,0.016133
1,4,card3,0.080833,0.016133
1,4,card5,0.026250,0.016133
1,4,PCD,0.207917,0.016133
1,4,M1,0.123750,0.016133
1,4,M2,0.126250,0.016133
1,4,M3,0.097500,0.016133
1,4,M4,0.032917,0.016133
1,4,card4,0.007500,0.016133
1,4,card6,0.254167,0.016133
1,4,DT,0.042083,0.016133
1,4,DI,0.023750,0.016133
1,4,M5,0.058333,0.016133
1,4,M6,0.028333,0.016133
1,4,M7,0.032083,0.016133
1,4,M8,0.027917,0.016133
1,4,M9,0.065833,0.016133
1,5,TA,0.049583,0.016089
1,5,card1,0.011667,0.016089
1,5,card2,0.000417,0.016089
1,5,card3,0.249167,0.016089
1,5,card5,0.007917,0.016089
1,5,PCD,0.351250,0.016089
1,5,M1,0.129167,0.016089
1,5,M2,0.105417,0.016089
1,5,M3,0.062500,0.016089
1,5,M4,0.106250,0.016089
1,5,card4,0.007083,0.016089
1,5,card6,0.077917,0.016089
1,5,DT,0.082500,0.016089
1,5,DI,0.010000,0.016089
1,5,M5,0.114583,0.016089
1,5,M6,0.005417,0.016089
1,5,M7,0.024167,0.016089
1,5,M8,0.008750,0.016089
1,5,M9,0.056250,0.016089
