seed,fold,feature,shap_importance,time_to_generate
1,1,TA,0.014167,0.030002
1,1,card1,0.015000,0.030002
1,1,card2,0.095833,0.030002
1,1,card3,0.013750,0.030002
1,1,card5,0.023333,0.030002
1,1,PCD,0.049583,0.030002
1,1,M1,0.016250,0.030002
1,1,M2,0.101667,0.030002
1,1,M3,0.018750,0.030002
1,1,M4,0.098750,0.030002
1,1,card4,0.020417,0.030002
1,1,card6,0.091250,0.030002
1,1,DT,0.034583,0.030002
1,1,DI,0.050833,0.030002
1,1,M5,0.056250,0.030002
1,1,M6,0.083333,0.030002
1,1,M7,0.001667,0.030002
1,1,M8,0.017500,0.030002
1,1,M9,0.139583,0.030002
1,2,TA,0.045417,0.027143
1,2,card1,0.008333,0.027143
1,2,card2,0.013333,0.027143
1,2,card3,0.015833,0.027143
1,2,card5,0.009167,0.027143
1,2,PCD,0.088333,0.027143
1,2,M1,0.193333,0.027143
1,2,M2,0.073333,0.027143
1,2,M3,0.085417,0.027143
1,2,M4,0.036250,0.027143
1,2,card4,0.050833,0.027143
1,2,card6,0.010833,0.027143
1,2,DT,0.028333,0.027143
1,2,DI,0.032083,0.027143
1,2,M5,0.114583,0.027143
1,2,M6,0.055000,0.027143
1,2,M7,0.003333,0.027143
1,2,M8,0.003333,0.027143
1,2,M9,0.061250,0.027143
1,3,TA,0.042917,0.027334
1,3,card1,0.095000,0.027334
1,3,card2,0.023750,0.027334
1,3,card3,0.021250,0.027334
1,3,card5,0.103750,0.027334
1,3,PCD,0.107083,0.027334
1,3,M1,0.205833,0.027334
1,3,M2,0.074583,0.027334
1,3,M3,0.066250,0.027334
1,3,M4,0.002500,0.027334
1,3,card4,0.004583,0.027334
1,3,card6,0.082917,0.027334
1,3,DT,0.012500,0.027334
1,3,DI,0.100417,0.027334
1,3,M5,0.178333,0.027334
1,3,M6,0.070000,0.027334
1,3,M7,0.003333,0.027334
1,3,M8,0.014583,0.027334
1,3,M9,0.086250,0.027334
1,4,TA,0.010833,0.037676
1,4,card1,0.035417,0.037676
1,4,card2,0.110417,0.037676
1,4,card3,0.020000,0.037676
1,4,card5,0.007083,0.037676
1,4,PCD,0.067083,0.037676
1,4,M1,0.070000,0.037676
1,4,M2,0.052500,0.037676
1,4,M3,0.000833,0.037676
1,4,M4,0.105417,0.037676
1,4,card4,0.007083,0.037676
1,4,card6,0.012083,0.037676
1,4,DT,0.075000,0.037676
1,4,DI,0.030833,0.037676
1,4,M5,0.051250,0.037676
1,4,M6,0.078750,0.037676
1,4,M7,0.033333,0.037676
1,4,M8,0.002917,0.037676
1,4,M9,0.060000,0.037676
1,5,TA,0.050000,0.032897
1,5,card1,0.059583,0.032897
1,5,card2,0.040417,0.032897
1,5,card3,0.049583,0.032897
1,5,card5,0.020417,0.032897
1,5,PCD,0.261250,0.032897
1,5,M1,0.104583,0.032897
1,5,M2,0.002917,0.032897
1,5,M3,0.034167,0.032897
1,5,M4,0.035000,0.032897
1,5,card4,0.057083,0.032897
1,5,card6,0.209167,0.032897
1,5,DT,0.121250,0.032897
1,5,DI,0.128333,0.032897
1,5,M5,0.298750,0.032897
1,5,M6,0.000417,0.032897
1,5,M7,0.045000,0.032897
1,5,M8,0.005000,0.032897
1,5,M9,0.087917,0.032897
