seed,fold,feature,shap_importance,time_to_generate
1,1,Time,0.014375,0.016706
1,1,V1,0.023125,0.016706
1,1,V2,0.003125,0.016706
1,1,V3,0.053125,0.016706
1,1,V4,0.063125,0.016706
1,1,V5,0.002500,0.016706
1,1,V6,0.014375,0.016706
1,1,V7,0.001250,0.016706
1,1,V8,0.006875,0.016706
1,1,V9,0.016250,0.016706
1,1,V10,0.027500,0.016706
1,1,V11,0.011875,0.016706
1,1,V12,0.038125,0.016706
1,1,V13,0.002500,0.016706
1,1,V14,0.199375,0.016706
1,1,V15,0.003750,0.016706
1,1,V16,0.018125,0.016706
1,1,V17,0.123750,0.016706
1,1,V18,0.002500,0.016706
1,1,V19,0.001875,0.016706
1,1,V20,0.001250,0.016706
1,1,V21,0.017500,0.016706
1,1,V22,0.001250,0.016706
1,1,V23,0.005625,0.016706
1,1,V24,0.025625,0.016706
1,1,V25,0.000000,0.016706
1,1,V26,0.059375,0.016706
1,1,V27,0.040000,0.016706
1,1,V28,0.007500,0.016706
1,1,Amount,0.000625,0.016706
1,2,Time,0.004375,0.016522
1,2,V1,0.037500,0.016522
1,2,V2,0.001250,0.016522
1,2,V3,0.006250,0.016522
1,2,V4,0.100000,0.016522
1,2,V5,0.001250,0.016522
1,2,V6,0.000000,0.016522
1,2,V7,0.060000,0.016522
1,2,V8,0.000625,0.016522
1,2,V9,0.006250,0.016522
1,2,V10,0.019375,0.016522
1,2,V11,0.009375,0.016522
1,2,V12,0.119375,0.016522
1,2,V13,0.020000,0.016522
1,2,V14,0.193125,0.016522
1,2,V15,0.015000,0.016522
1,2,V16,0.001875,0.016522
1,2,V17,0.001250,0.016522
1,2,V18,0.007500,0.016522
1,2,V19,0.000625,0.016522
1,2,V20,0.000000,0.016522
1,2,V21,0.001875,0.016522
1,2,V22,0.026250,0.016522
1,2,V23,0.000000,0.016522
1,2,V24,0.003750,0.016522
1,2,V25,0.003125,0.016522
1,2,V26,0.003750,0.016522
1,2,V27,0.053750,0.016522
1,2,V28,0.000625,0.016522
1,2,Amount,0.000625,0.016522
1,3,Time,0.007500,0.016812
1,3,V1,0.067500,0.016812
1,3,V2,0.005000,0.016812
1,3,V3,0.165625,0.016812
1,3,V4,0.105000,0.016812
1,3,V5,0.058125,0.016812
1,3,V6,0.062500,0.016812
1,3,V7,0.001250,0.016812
1,3,V8,0.062500,0.016812
1,3,V9,0.025625,0.016812
1,3,V10,0.081250,0.016812
1,3,V11,0.015625,0.016812
1,3,V12,0.084375,0.016812
1,3,V13,0.035000,0.016812
1,3,V14,0.037500,0.016812
1,3,V15,0.000625,0.016812
1,3,V16,0.010625,0.016812
1,3,V17,0.048125,0.016812
1,3,V18,0.145625,0.016812
1,3,V19,0.001250,0.016812
1,3,V20,0.010625,0.016812
1,3,V21,0.035625,0.016812
1,3,V22,0.066875,0.016812
1,3,V23,0.033125,0.016812
1,3,V24,0.002500,0.016812
1,3,V25,0.017500,0.016812
1,3,V26,0.010000,0.016812
1,3,V27,0.015625,0.016812
1,3,V28,0.038750,0.016812
1,3,Amount,0.005000,0.016812
1,4,Time,0.007500,0.016236
1,4,V1,0.036250,0.016236
1,4,V2,0.013750,0.016236
1,4,V3,0.038125,0.016236
1,4,V4,0.025625,0.016236
1,4,V5,0.000625,0.016236
1,4,V6,0.001875,0.016236
1,4,V7,0.009375,0.016236
1,4,V8,0.005625,0.016236
1,4,V9,0.019375,0.016236
1,4,V10,0.123750,0.016236
1,4,V11,0.115625,0.016236
1,4,V12,0.117500,0.016236
1,4,V13,0.000625,0.016236
1,4,V14,0.015000,0.016236
1,4,V15,0.009375,0.016236
1,4,V16,0.001875,0.016236
1,4,V17,0.016250,0.016236
1,4,V18,0.005000,0.016236
1,4,V19,0.000000,0.016236
1,4,V20,0.000000,0.016236
1,4,V21,0.000000,0.016236
1,4,V22,0.005000,0.016236
1,4,V23,0.005625,0.016236
1,4,V24,0.006250,0.016236
1,4,V25,0.001250,0.016236
1,4,V26,0.036875,0.016236
1,4,V27,0.018125,0.016236
1,4,V28,0.001875,0.016236
1,4,Amount,0.010625,0.016236
1,5,Time,0.010000,0.015476
1,5,V1,0.010625,0.015476
1,5,V2,0.012500,0.015476
1,5,V3,0.061250,0.015476
1,5,V4,0.072500,0.015476
1,5,V5,0.001875,0.015476
1,5,V6,0.001875,0.015476
1,5,V7,0.007500,0.015476
1,5,V8,0.038125,0.015476
1,5,V9,0.007500,0.015476
1,5,V10,0.084375,0.015476
1,5,V11,0.103125,0.015476
1,5,V12,0.031250,0.015476
1,5,V13,0.001875,0.015476
1,5,V14,0.086250,0.015476
1,5,V15,0.000625,0.015476
1,5,V16,0.005000,0.015476
1,5,V17,0.041875,0.015476
1,5,V18,0.003125,0.015476
1,5,V19,0.000000,0.015476
1,5,V20,0.000000,0.015476
1,5,V21,0.011250,0.015476
1,5,V22,0.070000,0.015476
1,5,V23,0.006250,0.015476
1,5,V24,0.001875,0.015476
1,5,V25,0.001875,0.015476
1,5,V26,0.003125,0.015476
1,5,V27,0.078750,0.015476
1,5,V28,0.006875,0.015476
1,5,Amount,0.001250,0.015476
