seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
1,1,MC,-0.02 < MC <= 11.38,-0.117601,0.033312
1,1,UC,UC <= -0.14,-0.108702,0.033312
1,1,MN,0.83 < MN <= 4.76,-0.043190,0.033312
1,1,Zip,0.66 < Zip <= 0.72,0.027576,0.033312
1,1,MS,-0.08 < MS <= 3.32,-0.022916,0.033312
1,1,MCC,MCC > 0.58,0.012988,0.033312
1,1,errors,errors <= -0.53,-0.011200,0.033312
1,1,Time,Time > 0.37,-0.009797,0.033312
1,1,Year,-0.52 < Year <= -0.12,0.009775,0.033312
1,1,Amount,0.33 < Amount <= 1.21,-0.005185,0.033312
1,2,MC,MC > 66.14,0.286115,0.030951
1,2,MS,MS > 4.24,0.145410,0.030951
1,2,UC,UC <= -0.03,-0.110889,0.030951
1,2,MN,0.84 < MN <= 5.07,-0.056902,0.030951
1,2,Year,Year > 0.35,-0.048589,0.030951
1,2,MCC,MCC > 0.61,0.019160,0.030951
1,2,Zip,0.67 < Zip <= 0.72,0.018074,0.030951
1,2,errors,errors <= -0.62,-0.012147,0.030951
1,2,Amount,-0.27 < Amount <= 0.31,-0.011749,0.030951
1,2,Time,-0.03 < Time <= 0.38,-0.006419,0.030951
1,3,MC,MC > 66.56,0.235351,0.030841
1,3,MS,MS > 4.93,0.173545,0.030841
1,3,UC,UC <= -0.08,-0.108653,0.030841
1,3,MN,0.82 < MN <= 5.36,-0.054267,0.030841
1,3,Year,Year > 0.32,-0.039017,0.030841
1,3,Zip,0.67 < Zip <= 0.72,0.028517,0.030841
1,3,MCC,MCC > 0.60,0.020557,0.030841
1,3,Amount,-0.26 < Amount <= 0.30,-0.013485,0.030841
1,3,errors,errors <= -0.69,-0.010607,0.030841
1,3,Day,-0.47 < Day <= -0.01,0.005500,0.030841
1,4,MC,MC > 63.10,0.323306,0.031033
1,4,UC,UC <= -0.08,-0.113476,0.031033
1,4,MN,0.86 < MN <= 4.75,-0.053283,0.031033
1,4,Year,Year > 0.35,-0.051008,0.031033
1,4,Zip,0.66 < Zip <= 0.72,0.025545,0.031033
1,4,MCC,MCC > 0.55,0.016504,0.031033
1,4,Amount,-0.25 < Amount <= 0.36,-0.015043,0.031033
1,4,errors,errors <= -0.65,-0.009182,0.031033
1,4,MS,MS > 3.96,0.008344,0.031033
1,4,Month,-0.43 < Month <= -0.03,-0.005591,0.031033
1,5,MC,-0.02 < MC <= 11.38,-0.113251,0.030951
1,5,UC,UC <= -0.13,-0.098230,0.030951
1,5,Amount,Amount > 1.22,0.067633,0.030951
1,5,MN,0.84 < MN <= 4.80,-0.047554,0.030951
1,5,Zip,0.66 < Zip <= 0.73,0.034547,0.030951
1,5,MS,-0.07 < MS <= 3.67,-0.032751,0.030951
1,5,errors,errors <= -0.56,-0.014049,0.030951
1,5,Month,-0.08 < Month <= 0.29,-0.010527,0.030951
1,5,Year,-0.52 < Year <= -0.12,0.009529,0.030951
1,5,Time,-0.02 < Time <= 0.39,-0.007999,0.030951
