seed,fold,feature,shap_importance,time_to_generate
1,1,Year,0.009500,1.390814
1,1,Month,0.000250,1.390814
1,1,Day,0.001250,1.390814
1,1,Time,0.001750,1.390814
1,1,Amount,0.018500,1.390814
1,1,MCC,0.002000,1.390814
1,1,UC,0.260000,1.390814
1,1,MN,0.053500,1.390814
1,1,MC,0.037250,1.390814
1,1,MS,0.034000,1.390814
1,1,Zip,0.004500,1.390814
1,1,errors,0.001000,1.390814
1,2,Year,0.052750,0.024750
1,2,Month,0.000750,0.024750
1,2,Day,0.004750,0.024750
1,2,Time,0.001000,0.024750
1,2,Amount,0.002250,0.024750
1,2,MCC,0.007500,0.024750
1,2,UC,0.171500,0.024750
1,2,MN,0.003500,0.024750
1,2,MC,0.388750,0.024750
1,2,MS,0.332500,0.024750
1,2,Zip,0.050000,0.024750
1,2,errors,0.002250,0.024750
1,3,Year,0.038500,0.023520
1,3,Month,0.004500,0.023520
1,3,Day,0.002000,0.023520
1,3,Time,0.001500,0.023520
1,3,Amount,0.007500,0.023520
1,3,MCC,0.030750,0.023520
1,3,UC,0.102250,0.023520
1,3,MN,0.001250,0.023520
1,3,MC,0.238000,0.023520
1,3,MS,0.345000,0.023520
1,3,Zip,0.050000,0.023520
1,3,errors,0.000250,0.023520
1,4,Year,0.021000,0.023289
1,4,Month,0.000250,0.023289
1,4,Day,0.000250,0.023289
1,4,Time,0.003000,0.023289
1,4,Amount,0.006500,0.023289
1,4,MCC,0.003000,0.023289
1,4,UC,0.163000,0.023289
1,4,MN,0.003000,0.023289
1,4,MC,0.707000,0.023289
1,4,MS,0.030000,0.023289
1,4,Zip,0.007000,0.023289
1,4,errors,0.000000,0.023289
1,5,Year,0.019750,0.023271
1,5,Month,0.000750,0.023271
1,5,Day,0.000500,0.023271
1,5,Time,0.000500,0.023271
1,5,Amount,0.028750,0.023271
1,5,MCC,0.019500,0.023271
1,5,UC,0.355500,0.023271
1,5,MN,0.067250,0.023271
1,5,MC,0.027750,0.023271
1,5,MS,0.020250,0.023271
1,5,Zip,0.029000,0.023271
1,5,errors,0.008500,0.023271
