seed,fold,feature,shap_importance,time_to_generate
1,1,Year,0.074750,1.228036
1,1,Month,0.040250,1.228036
1,1,Day,0.068750,1.228036
1,1,Time,0.070250,1.228036
1,1,Amount,0.070250,1.228036
1,1,MCC,0.053750,1.228036
1,1,UC,0.037750,1.228036
1,1,MN,0.134000,1.228036
1,1,MC,0.010250,1.228036
1,1,MS,0.012750,1.228036
1,1,Zip,0.003250,1.228036
1,1,errors,0.066500,1.228036
1,2,Year,0.109750,1.096657
1,2,Month,0.025750,1.096657
1,2,Day,0.001000,1.096657
1,2,Time,0.040500,1.096657
1,2,Amount,0.016000,1.096657
1,2,MCC,0.005750,1.096657
1,2,UC,0.085000,1.096657
1,2,MN,0.078250,1.096657
1,2,MC,0.222500,1.096657
1,2,MS,0.368250,1.096657
1,2,Zip,0.023250,1.096657
1,2,errors,0.014500,1.096657
1,3,Year,0.112250,0.562906
1,3,Month,0.008500,0.562906
1,3,Day,0.001000,0.562906
1,3,Time,0.041250,0.562906
1,3,Amount,0.011500,0.562906
1,3,MCC,0.000750,0.562906
1,3,UC,0.040750,0.562906
1,3,MN,0.085750,0.562906
1,3,MC,0.214500,0.562906
1,3,MS,0.373250,0.562906
1,3,Zip,0.006000,0.562906
1,3,errors,0.013000,0.562906
1,4,Year,0.059750,1.120597
1,4,Month,0.000250,1.120597
1,4,Day,0.007000,1.120597
1,4,Time,0.042250,1.120597
1,4,Amount,0.037750,1.120597
1,4,MCC,0.000250,1.120597
1,4,UC,0.054250,1.120597
1,4,MN,0.092000,1.120597
1,4,MC,0.229500,1.120597
1,4,MS,0.328000,1.120597
1,4,Zip,0.003750,1.120597
1,4,errors,0.010750,1.120597
1,5,Year,0.054250,1.125635
1,5,Month,0.027000,1.125635
1,5,Day,0.017000,1.125635
1,5,Time,0.041750,1.125635
1,5,Amount,0.160000,1.125635
1,5,MCC,0.102000,1.125635
1,5,UC,0.000500,1.125635
1,5,MN,0.135500,1.125635
1,5,MC,0.064750,1.125635
1,5,MS,0.059500,1.125635
1,5,Zip,0.027750,1.125635
1,5,errors,0.099500,1.125635
