seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
2,1,card5,-0.03 < card5 <= 0.00,0.093353,0.258606
2,1,card3,card3 > 0.00,0.064794,0.258606
2,1,card6,0.02 < card6 <= 2.52,0.036849,0.258606
2,1,M5,M5 <= -0.66,-0.034616,0.258606
2,1,M4,M4 > 0.14,-0.032109,0.258606
2,1,M8,M8 <= -0.48,-0.023687,0.258606
2,1,DI,DI <= -0.67,-0.019912,0.258606
2,1,DT,DT <= -0.61,-0.014118,0.258606
2,1,M3,M3 <= -0.61,-0.013532,0.258606
2,1,M6,-0.23 < M6 <= 0.14,0.012973,0.258606
2,2,card5,-0.03 < card5 <= 0.00,0.074976,0.239556
2,2,card3,card3 <= 0.00,-0.060308,0.239556
2,2,TA,TA <= -0.36,-0.060288,0.239556
2,2,card6,0.01 < card6 <= 2.33,0.047815,0.239556
2,2,M5,M5 > 0.19,0.034550,0.239556
2,2,DI,DI <= -0.72,-0.021104,0.239556
2,2,M8,M8 <= -0.46,-0.018938,0.239556
2,2,DT,DT <= -0.63,-0.012563,0.239556
2,2,card2,card2 > 0.48,-0.012428,0.239556
2,2,card1,-0.01 < card1 <= 0.48,0.012391,0.239556
2,3,card5,-0.03 < card5 <= 0.00,0.103903,0.228348
2,3,card3,card3 <= 0.00,-0.064928,0.228348
2,3,TA,TA > 0.96,0.048210,0.228348
2,3,card6,0.01 < card6 <= 2.40,0.044829,0.228348
2,3,M5,M5 <= -0.65,-0.028798,0.228348
2,3,DI,DI <= -0.70,-0.021732,0.228348
2,3,M8,M8 <= -0.46,-0.020660,0.228348
2,3,card1,-0.01 < card1 <= 0.48,0.014156,0.228348
2,3,M6,-0.28 < M6 <= 0.14,0.014079,0.228348
2,3,DT,DT <= -0.61,-0.012728,0.228348
2,4,card5,-0.03 < card5 <= 0.00,0.119431,0.230126
2,4,card3,card3 <= 0.00,-0.053761,0.230126
2,4,card6,0.01 < card6 <= 2.29,0.044651,0.230126
2,4,M5,M5 > 0.19,0.025315,0.230126
2,4,M8,M8 <= -0.47,-0.022663,0.230126
2,4,DT,DT <= -0.61,-0.016506,0.230126
2,4,DI,DI <= -0.70,-0.013513,0.230126
2,4,M9,M9 <= -0.71,-0.012869,0.230126
2,4,M3,M3 <= -0.64,-0.011230,0.230126
2,4,card2,-0.46 < card2 <= 0.00,0.011141,0.230126
2,5,card3,card3 > 0.00,0.055548,0.239856
2,5,card5,-1.00 < card5 <= -0.03,-0.042401,0.239856
2,5,M5,M5 <= -0.65,-0.037291,0.239856
2,5,card6,0.01 < card6 <= 2.37,0.036183,0.239856
2,5,M4,M4 > 0.15,-0.034381,0.239856
2,5,TA,0.02 < TA <= 0.96,0.025230,0.239856
2,5,M8,M8 <= -0.45,-0.020452,0.239856
2,5,DI,DI <= -0.63,-0.018598,0.239856
2,5,card2,0.00 < card2 <= 0.49,0.012370,0.239856
2,5,DT,DT <= -0.62,-0.011953,0.239856
