seed,fold,feature,shap_importance,time_to_generate
2,1,Year,0.017000,0.056681
2,1,Month,0.022250,0.056681
2,1,Day,0.019000,0.056681
2,1,Time,0.037750,0.056681
2,1,Amount,0.037250,0.056681
2,1,MCC,0.023000,0.056681
2,1,UC,0.156250,0.056681
2,1,MN,0.218250,0.056681
2,1,MC,0.124500,0.056681
2,1,MS,0.018500,0.056681
2,1,Zip,0.017500,0.056681
2,1,errors,0.002750,0.056681
2,2,Year,0.002500,0.074319
2,2,Month,0.062750,0.074319
2,2,Day,0.034250,0.074319
2,2,Time,0.089500,0.074319
2,2,Amount,0.008250,0.074319
2,2,MCC,0.044000,0.074319
2,2,UC,0.113750,0.074319
2,2,MN,0.137000,0.074319
2,2,MC,0.013500,0.074319
2,2,MS,0.055750,0.074319
2,2,Zip,0.037250,0.074319
2,2,errors,0.026500,0.074319
2,3,Year,0.051250,0.065606
2,3,Month,0.060000,0.065606
2,3,Day,0.097250,0.065606
2,3,Time,0.030750,0.065606
2,3,Amount,0.053750,0.065606
2,3,MCC,0.047000,0.065606
2,3,UC,0.054250,0.065606
2,3,MN,0.106500,0.065606
2,3,MC,0.060500,0.065606
2,3,MS,0.018750,0.065606
2,3,Zip,0.037750,0.065606
2,3,errors,0.080750,0.065606
2,4,Year,0.050750,0.053755
2,4,Month,0.027750,0.053755
2,4,Day,0.000250,0.053755
2,4,Time,0.018250,0.053755
2,4,Amount,0.020750,0.053755
2,4,MCC,0.016750,0.053755
2,4,UC,0.064500,0.053755
2,4,MN,0.051250,0.053755
2,4,MC,0.616500,0.053755
2,4,MS,0.076250,0.053755
2,4,Zip,0.002750,0.053755
2,4,errors,0.002250,0.053755
2,5,Year,0.045000,0.080341
2,5,Month,0.077750,0.080341
2,5,Day,0.020000,0.080341
2,5,Time,0.047000,0.080341
2,5,Amount,0.151000,0.080341
2,5,MCC,0.051750,0.080341
2,5,UC,0.131250,0.080341
2,5,MN,0.118250,0.080341
2,5,MC,0.100000,0.080341
2,5,MS,0.057000,0.080341
2,5,Zip,0.030750,0.080341
2,5,errors,0.012250,0.080341
