seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
3,1,card3,card3 <= 0.00,-0.205857,0.031092
3,1,DI,-0.68 < DI <= 0.05,-0.064455,0.031092
3,1,PCD,-0.35 < PCD <= 0.11,-0.059627,0.031092
3,1,M5,M5 > 0.19,0.035055,0.031092
3,1,card2,card2 > 0.49,-0.025381,0.031092
3,1,M3,-0.60 < M3 <= 0.07,0.025080,0.031092
3,1,M6,M6 <= -0.26,-0.019829,0.031092
3,1,M4,M4 <= -0.65,0.017714,0.031092
3,1,M7,-0.73 < M7 <= 0.02,0.015431,0.031092
3,1,M2,-0.77 < M2 <= 0.00,0.014646,0.031092
3,2,DI,DI > 0.24,0.364165,0.030777
3,2,TA,TA <= -0.35,-0.126996,0.030777
3,2,card3,card3 <= 0.00,-0.094750,0.030777
3,2,card1,card1 > 0.47,-0.055303,0.030777
3,2,PCD,PCD > 34.22,0.050769,0.030777
3,2,DT,DT > 0.29,0.044516,0.030777
3,2,card2,-0.46 < card2 <= 0.00,0.042680,0.030777
3,2,M4,M4 > 0.22,-0.041544,0.030777
3,2,M9,-0.65 < M9 <= 0.03,0.023293,0.030777
3,2,M1,-0.74 < M1 <= 0.01,0.016311,0.030777
3,3,PCD,PCD > 25.62,0.175747,0.030707
3,3,TA,-0.37 < TA <= 0.01,-0.074599,0.030707
3,3,M4,M4 > 0.14,-0.054710,0.030707
3,3,card6,card6 > 2.44,0.044838,0.030707
3,3,DI,-0.65 < DI <= 0.04,-0.031665,0.030707
3,3,M2,-0.77 < M2 <= 0.00,0.027352,0.030707
3,3,M8,-0.48 < M8 <= 0.16,-0.025426,0.030707
3,3,M6,0.15 < M6 <= 0.41,0.020026,0.030707
3,3,M1,-0.78 < M1 <= 0.01,0.014859,0.030707
3,3,M9,-0.71 < M9 <= 0.02,0.013798,0.030707
3,4,TA,TA <= -0.36,-0.104926,0.030220
3,4,DI,-0.68 < DI <= 0.05,-0.080125,0.030220
3,4,card6,card6 <= -0.11,-0.054481,0.030220
3,4,DT,-0.58 < DT <= 0.03,-0.051158,0.030220
3,4,M3,-0.62 < M3 <= 0.05,0.041609,0.030220
3,4,card3,card3 <= 0.00,-0.041597,0.030220
3,4,M2,M2 > 0.18,0.041570,0.030220
3,4,PCD,-0.39 < PCD <= 0.12,-0.041397,0.030220
3,4,card2,card2 > 0.48,-0.031966,0.030220
3,4,M9,M9 <= -0.72,0.028957,0.030220
3,5,PCD,PCD > 24.75,0.211223,0.030389
3,5,card3,card3 <= 0.00,-0.097330,0.030389
3,5,TA,TA <= -0.36,-0.087055,0.030389
3,5,DI,DI > 0.24,0.057242,0.030389
3,5,DT,DT > 0.23,0.046358,0.030389
3,5,card4,-0.56 < card4 <= 0.02,0.039333,0.030389
3,5,card1,card1 > 0.48,-0.038568,0.030389
3,5,card2,-0.46 < card2 <= 0.00,0.026534,0.030389
3,5,card5,-0.03 < card5 <= 0.00,0.018428,0.030389
3,5,M8,-0.48 < M8 <= 0.16,0.010619,0.030389
