seed,fold,feature,shap_importance,time_to_generate
3,1,TA,0.102917,1.697372
3,1,card1,0.042083,1.697372
3,1,card2,0.125833,1.697372
3,1,card3,0.033750,1.697372
3,1,card5,0.027083,1.697372
3,1,PCD,0.027917,1.697372
3,1,M1,0.020833,1.697372
3,1,M2,0.009167,1.697372
3,1,M3,0.076250,1.697372
3,1,M4,0.033333,1.697372
3,1,card4,0.046250,1.697372
3,1,card6,0.059583,1.697372
3,1,DT,0.007083,1.697372
3,1,DI,0.023333,1.697372
3,1,M5,0.071667,1.697372
3,1,M6,0.013750,1.697372
3,1,M7,0.002083,1.697372
3,1,M8,0.001667,1.697372
3,1,M9,0.029583,1.697372
3,2,TA,0.072917,1.622114
3,2,card1,0.005417,1.622114
3,2,card2,0.037917,1.622114
3,2,card3,0.022500,1.622114
3,2,card5,0.054167,1.622114
3,2,PCD,0.186250,1.622114
3,2,M1,0.008333,1.622114
3,2,M2,0.006667,1.622114
3,2,M3,0.000417,1.622114
3,2,M4,0.032500,1.622114
3,2,card4,0.026667,1.622114
3,2,card6,0.037917,1.622114
3,2,DT,0.046667,1.622114
3,2,DI,0.205833,1.622114
3,2,M5,0.009167,1.622114
3,2,M6,0.032500,1.622114
3,2,M7,0.011667,1.622114
3,2,M8,0.016667,1.622114
3,2,M9,0.005833,1.622114
3,3,TA,0.039583,1.696683
3,3,card1,0.005000,1.696683
3,3,card2,0.003750,1.696683
3,3,card3,0.160417,1.696683
3,3,card5,0.125000,1.696683
3,3,PCD,0.017917,1.696683
3,3,M1,0.011250,1.696683
3,3,M2,0.018333,1.696683
3,3,M3,0.028333,1.696683
3,3,M4,0.018750,1.696683
3,3,card4,0.036250,1.696683
3,3,card6,0.138750,1.696683
3,3,DT,0.020417,1.696683
3,3,DI,0.041250,1.696683
3,3,M5,0.045417,1.696683
3,3,M6,0.047083,1.696683
3,3,M7,0.018333,1.696683
3,3,M8,0.007500,1.696683
3,3,M9,0.054167,1.696683
3,4,TA,0.014583,1.732380
3,4,card1,0.093333,1.732380
3,4,card2,0.066667,1.732380
3,4,card3,0.031250,1.732380
3,4,card5,0.080833,1.732380
3,4,PCD,0.003750,1.732380
3,4,M1,0.005833,1.732380
3,4,M2,0.001250,1.732380
3,4,M3,0.017500,1.732380
3,4,M4,0.022083,1.732380
3,4,card4,0.023333,1.732380
3,4,card6,0.042500,1.732380
3,4,DT,0.000417,1.732380
3,4,DI,0.011667,1.732380
3,4,M5,0.017083,1.732380
3,4,M6,0.034583,1.732380
3,4,M7,0.020417,1.732380
3,4,M8,0.037083,1.732380
3,4,M9,0.061667,1.732380
3,5,TA,0.089583,1.615944
3,5,card1,0.002917,1.615944
3,5,card2,0.013333,1.615944
3,5,card3,0.025833,1.615944
3,5,card5,0.041667,1.615944
3,5,PCD,0.096667,1.615944
3,5,M1,0.002500,1.615944
3,5,M2,0.010833,1.615944
3,5,M3,0.008750,1.615944
3,5,M4,0.029167,1.615944
3,5,card4,0.004167,1.615944
3,5,card6,0.030000,1.615944
3,5,DT,0.045417,1.615944
3,5,DI,0.379583,1.615944
3,5,M5,0.024583,1.615944
3,5,M6,0.017917,1.615944
3,5,M7,0.008750,1.615944
3,5,M8,0.008750,1.615944
3,5,M9,0.009583,1.615944
