seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
3,1,V14,-7.26 < V14 <= -1.24,0.092364,0.044605
3,1,V12,-5.39 < V12 <= -0.93,0.064024,0.044605
3,1,V11,0.80 < V11 <= 2.36,0.043519,0.044605
3,1,V3,-2.71 < V3 <= -0.83,0.031563,0.044605
3,1,Time,Time > 0.55,-0.030429,0.044605
3,1,V24,-0.05 < V24 <= 0.38,0.030151,0.044605
3,1,V5,V5 > 0.39,0.025974,0.044605
3,1,V15,V15 <= -0.50,0.025609,0.044605
3,1,V4,-0.04 < V4 <= 0.84,-0.024219,0.044605
3,1,V21,0.46 < V21 <= 1.68,0.023230,0.044605
3,2,V14,-7.24 < V14 <= -1.14,0.137257,0.043253
3,2,V4,0.84 < V4 <= 2.55,0.062853,0.043253
3,2,V7,V7 <= -2.60,0.051253,0.043253
3,2,V12,-5.21 < V12 <= -0.88,0.048614,0.043253
3,2,V10,-4.43 < V10 <= -0.77,-0.025218,0.043253
3,2,V18,V18 > 0.38,-0.023510,0.043253
3,2,V22,V22 <= -0.49,-0.023324,0.043253
3,2,V9,-0.51 < V9 <= 0.16,0.023290,0.043253
3,2,V27,V27 > 2.85,-0.022076,0.043253
3,2,V6,V6 <= -1.08,0.021254,0.043253
3,3,V14,-7.43 < V14 <= -1.24,0.121489,0.043388
3,3,V4,0.86 < V4 <= 2.63,0.056394,0.043388
3,3,V11,V11 > 2.37,0.055580,0.043388
3,3,V12,-5.45 < V12 <= -0.98,0.046311,0.043388
3,3,V26,V26 <= -0.38,-0.041370,0.043388
3,3,Time,Time > 0.54,-0.034001,0.043388
3,3,V6,V6 <= -1.03,0.029354,0.043388
3,3,V5,-0.31 < V5 <= 0.37,-0.023199,0.043388
3,3,V21,0.47 < V21 <= 1.74,0.022466,0.043388
3,3,V3,-2.67 < V3 <= -0.84,0.018973,0.043388
3,4,V12,V12 > 0.07,-0.109252,0.043252
3,4,V3,V3 > 0.09,-0.057494,0.043252
3,4,V10,V10 > 0.09,-0.048433,0.043252
3,4,V4,0.87 < V4 <= 2.63,0.029473,0.043252
3,4,V11,-0.09 < V11 <= 0.77,0.027259,0.043252
3,4,V2,0.64 < V2 <= 1.93,0.022310,0.043252
3,4,V14,-1.17 < V14 <= 0.06,-0.020287,0.043252
3,4,V16,V16 > 0.25,-0.017889,0.043252
3,4,V27,V27 <= -0.38,0.017732,0.043252
3,4,V9,-1.77 < V9 <= -0.54,0.016292,0.043252
3,5,V4,0.88 < V4 <= 2.59,0.091256,0.043429
3,5,V14,-7.28 < V14 <= -1.26,0.057616,0.043429
3,5,V13,V13 <= -0.53,0.034111,0.043429
3,5,V12,-5.29 < V12 <= -0.91,0.031146,0.043429
3,5,V3,-2.58 < V3 <= -0.84,0.027352,0.043429
3,5,V10,-4.30 < V10 <= -0.83,0.026996,0.043429
3,5,V11,0.78 < V11 <= 2.38,0.024466,0.043429
3,5,V5,V5 > 0.41,-0.024267,0.043429
3,5,V18,V18 > 0.37,-0.024033,0.043429
3,5,V2,V2 <= -0.14,0.019354,0.043429
