seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
3,1,V5,V5 > 0.39,0.069459,0.046868
3,1,V14,-7.26 < V14 <= -1.24,0.062566,0.046868
3,1,V4,-0.04 < V4 <= 0.84,-0.045111,0.046868
3,1,V1,-0.34 < V1 <= 0.46,0.041126,0.046868
3,1,Time,Time > 0.55,-0.022077,0.046868
3,1,V22,0.01 < V22 <= 0.49,0.013443,0.046868
3,1,V8,0.26 < V8 <= 1.52,-0.013021,0.046868
3,1,V26,V26 > 0.61,-0.012765,0.046868
3,1,V9,-1.73 < V9 <= -0.54,-0.011523,0.046868
3,1,V19,0.23 < V19 <= 1.01,0.010879,0.046868
3,2,V1,V1 <= -1.15,-0.090507,0.042647
3,2,V8,V8 > 1.53,-0.088252,0.042647
3,2,V5,V5 > 0.40,0.058909,0.042647
3,2,V14,-7.24 < V14 <= -1.14,0.052984,0.042647
3,2,V6,V6 <= -1.08,0.049280,0.042647
3,2,V4,0.84 < V4 <= 2.55,0.034708,0.042647
3,2,V26,V26 > 0.61,-0.033379,0.042647
3,2,Amount,-0.01 < Amount <= 1.09,-0.024879,0.042647
3,2,V20,V20 > 1.43,-0.023700,0.042647
3,2,V13,V13 <= -0.57,0.022532,0.042647
3,3,V14,-7.43 < V14 <= -1.24,0.061265,0.042650
3,3,V1,V1 > 0.44,0.055287,0.042650
3,3,V11,V11 > 2.37,0.047612,0.042650
3,3,V6,V6 <= -1.03,0.035561,0.042650
3,3,V4,0.86 < V4 <= 2.63,0.031658,0.042650
3,3,V5,-0.31 < V5 <= 0.37,0.026272,0.042650
3,3,Amount,-0.02 < Amount <= 1.09,-0.021702,0.042650
3,3,V12,-5.45 < V12 <= -0.98,0.017011,0.042650
3,3,V8,0.28 < V8 <= 1.67,-0.016671,0.042650
3,3,V9,-1.83 < V9 <= -0.55,-0.014824,0.042650
3,4,V12,V12 > 0.07,-0.117528,0.042631
3,4,V10,V10 > 0.09,-0.108341,0.042631
3,4,V14,-1.17 < V14 <= 0.06,-0.102091,0.042631
3,4,V5,V5 > 0.41,0.052698,0.042631
3,4,V11,-0.09 < V11 <= 0.77,-0.043615,0.042631
3,4,V4,0.87 < V4 <= 2.63,0.033605,0.042631
3,4,V1,-0.32 < V1 <= 0.46,0.032585,0.042631
3,4,V6,V6 > 0.25,-0.032533,0.042631
3,4,V22,V22 > 0.50,0.028441,0.042631
3,4,V19,V19 <= -0.44,-0.023121,0.042631
3,5,V1,V1 <= -1.19,-0.104886,0.042544
3,5,V8,V8 > 1.55,-0.065690,0.042544
3,5,V14,-7.28 < V14 <= -1.26,0.057828,0.042544
3,5,V6,V6 <= -1.05,0.055376,0.042544
3,5,V5,V5 > 0.41,0.052448,0.042544
3,5,V7,V7 <= -2.62,0.048872,0.042544
3,5,V20,V20 > 1.36,-0.042422,0.042544
3,5,V4,0.88 < V4 <= 2.59,0.033186,0.042544
3,5,V2,V2 <= -0.14,-0.030503,0.042544
3,5,Amount,-0.03 < Amount <= 1.09,-0.029421,0.042544
