seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
3,1,V5,V5 > 0.39,0.093639,0.047896
3,1,V1,-0.34 < V1 <= 0.46,0.071293,0.047896
3,1,V14,-7.26 < V14 <= -1.24,0.043862,0.047896
3,1,V7,-0.62 < V7 <= 0.20,-0.031636,0.047896
3,1,V18,-0.35 < V18 <= 0.34,-0.031371,0.047896
3,1,V3,-2.71 < V3 <= -0.83,0.025219,0.047896
3,1,V24,-0.05 < V24 <= 0.38,-0.025057,0.047896
3,1,V12,-5.39 < V12 <= -0.93,0.023579,0.047896
3,1,V23,V23 <= -0.66,-0.022464,0.047896
3,1,V4,-0.04 < V4 <= 0.84,-0.021361,0.047896
3,2,V1,V1 <= -1.15,-0.174323,0.042551
3,2,V7,V7 <= -2.60,0.076885,0.042551
3,2,V5,V5 > 0.40,0.072607,0.042551
3,2,V8,V8 > 1.53,-0.071142,0.042551
3,2,V14,-7.24 < V14 <= -1.14,0.046847,0.042551
3,2,V2,V2 <= -0.13,-0.034171,0.042551
3,2,Amount,-0.01 < Amount <= 1.09,-0.034054,0.042551
3,2,V4,0.84 < V4 <= 2.55,0.031909,0.042551
3,2,V6,V6 <= -1.08,0.030400,0.042551
3,2,V12,-5.21 < V12 <= -0.88,0.026014,0.042551
3,3,V1,V1 > 0.44,0.082176,0.047024
3,3,V14,-7.43 < V14 <= -1.24,0.057355,0.047024
3,3,V11,V11 > 2.37,0.047892,0.047024
3,3,V5,-0.31 < V5 <= 0.37,0.031039,0.047024
3,3,Amount,-0.02 < Amount <= 1.09,-0.029676,0.047024
3,3,V12,-5.45 < V12 <= -0.98,0.028400,0.047024
3,3,V4,0.86 < V4 <= 2.63,0.028351,0.047024
3,3,V18,-0.35 < V18 <= 0.34,-0.027916,0.047024
3,3,V9,-1.83 < V9 <= -0.55,-0.023478,0.047024
3,3,V6,V6 <= -1.03,0.018627,0.047024
3,4,V12,V12 > 0.07,-0.112009,0.042654
3,4,V10,V10 > 0.09,-0.106995,0.042654
3,4,V14,-1.17 < V14 <= 0.06,-0.066172,0.042654
3,4,V5,V5 > 0.41,0.056272,0.042654
3,4,V1,-0.32 < V1 <= 0.46,0.051179,0.042654
3,4,V16,V16 > 0.25,-0.038035,0.042654
3,4,V7,V7 > 0.21,-0.033043,0.042654
3,4,V4,0.87 < V4 <= 2.63,0.030800,0.042654
3,4,V6,V6 > 0.25,-0.030557,0.042654
3,4,V11,-0.09 < V11 <= 0.77,-0.030261,0.042654
3,5,V1,V1 <= -1.19,-0.198948,0.042964
3,5,V7,V7 <= -2.62,0.112578,0.042964
3,5,V5,V5 > 0.41,0.076023,0.042964
3,5,V2,V2 <= -0.14,-0.061033,0.042964
3,5,V14,-7.28 < V14 <= -1.26,0.048209,0.042964
3,5,V8,V8 > 1.55,-0.043358,0.042964
3,5,V20,V20 > 1.36,-0.042897,0.042964
3,5,V6,V6 <= -1.05,0.041387,0.042964
3,5,Amount,-0.03 < Amount <= 1.09,-0.032998,0.042964
3,5,V4,0.88 < V4 <= 2.59,0.030631,0.042964
