seed,fold,feature,shap_importance,time_to_generate
3,1,Time,0.015625,0.015317
3,1,V1,0.003125,0.015317
3,1,V2,0.053125,0.015317
3,1,V3,0.033750,0.015317
3,1,V4,0.000000,0.015317
3,1,V5,0.048125,0.015317
3,1,V6,0.016250,0.015317
3,1,V7,0.003125,0.015317
3,1,V8,0.005625,0.015317
3,1,V9,0.020625,0.015317
3,1,V10,0.101250,0.015317
3,1,V11,0.038750,0.015317
3,1,V12,0.036250,0.015317
3,1,V13,0.007500,0.015317
3,1,V14,0.141875,0.015317
3,1,V15,0.000000,0.015317
3,1,V16,0.018750,0.015317
3,1,V17,0.071250,0.015317
3,1,V18,0.001250,0.015317
3,1,V19,0.005000,0.015317
3,1,V20,0.002500,0.015317
3,1,V21,0.000625,0.015317
3,1,V22,0.003750,0.015317
3,1,V23,0.008750,0.015317
3,1,V24,0.000000,0.015317
3,1,V25,0.000625,0.015317
3,1,V26,0.003750,0.015317
3,1,V27,0.001250,0.015317
3,1,V28,0.000625,0.015317
3,1,Amount,0.020625,0.015317
3,2,Time,0.009375,0.013053
3,2,V1,0.116875,0.013053
3,2,V2,0.066875,0.013053
3,2,V3,0.023750,0.013053
3,2,V4,0.116250,0.013053
3,2,V5,0.101250,0.013053
3,2,V6,0.097500,0.013053
3,2,V7,0.029375,0.013053
3,2,V8,0.025625,0.013053
3,2,V9,0.009375,0.013053
3,2,V10,0.038125,0.013053
3,2,V11,0.043125,0.013053
3,2,V12,0.106875,0.013053
3,2,V13,0.015625,0.013053
3,2,V14,0.178750,0.013053
3,2,V15,0.000000,0.013053
3,2,V16,0.028750,0.013053
3,2,V17,0.020000,0.013053
3,2,V18,0.003750,0.013053
3,2,V19,0.001875,0.013053
3,2,V20,0.043125,0.013053
3,2,V21,0.000000,0.013053
3,2,V22,0.009375,0.013053
3,2,V23,0.002500,0.013053
3,2,V24,0.001875,0.013053
3,2,V25,0.000000,0.013053
3,2,V26,0.010000,0.013053
3,2,V27,0.005625,0.013053
3,2,V28,0.025625,0.013053
3,2,Amount,0.007500,0.013053
3,3,Time,0.011250,0.013474
3,3,V1,0.013125,0.013474
3,3,V2,0.000000,0.013474
3,3,V3,0.016875,0.013474
3,3,V4,0.038750,0.013474
3,3,V5,0.005000,0.013474
3,3,V6,0.011250,0.013474
3,3,V7,0.008125,0.013474
3,3,V8,0.003750,0.013474
3,3,V9,0.017500,0.013474
3,3,V10,0.080625,0.013474
3,3,V11,0.038125,0.013474
3,3,V12,0.044375,0.013474
3,3,V13,0.004375,0.013474
3,3,V14,0.142500,0.013474
3,3,V15,0.000000,0.013474
3,3,V16,0.022500,0.013474
3,3,V17,0.070000,0.013474
3,3,V18,0.002500,0.013474
3,3,V19,0.002500,0.013474
3,3,V20,0.000000,0.013474
3,3,V21,0.000625,0.013474
3,3,V22,0.001250,0.013474
3,3,V23,0.000625,0.013474
3,3,V24,0.000625,0.013474
3,3,V25,0.001875,0.013474
3,3,V26,0.001250,0.013474
3,3,V27,0.001250,0.013474
3,3,V28,0.002500,0.013474
3,3,Amount,0.001875,0.013474
3,4,Time,0.055000,0.013178
3,4,V1,0.014375,0.013178
3,4,V2,0.007500,0.013178
3,4,V3,0.030625,0.013178
3,4,V4,0.063125,0.013178
3,4,V5,0.080000,0.013178
3,4,V6,0.036875,0.013178
3,4,V7,0.030000,0.013178
3,4,V8,0.011875,0.013178
3,4,V9,0.035000,0.013178
3,4,V10,0.275000,0.013178
3,4,V11,0.045625,0.013178
3,4,V12,0.095000,0.013178
3,4,V13,0.016250,0.013178
3,4,V14,0.071250,0.013178
3,4,V15,0.002500,0.013178
3,4,V16,0.057500,0.013178
3,4,V17,0.005625,0.013178
3,4,V18,0.037500,0.013178
3,4,V19,0.031250,0.013178
3,4,V20,0.001250,0.013178
3,4,V21,0.001875,0.013178
3,4,V22,0.033125,0.013178
3,4,V23,0.013125,0.013178
3,4,V24,0.001875,0.013178
3,4,V25,0.001875,0.013178
3,4,V26,0.001875,0.013178
3,4,V27,0.009375,0.013178
3,4,V28,0.010625,0.013178
3,4,Amount,0.028125,0.013178
3,5,Time,0.016875,0.013025
3,5,V1,0.088750,0.013025
3,5,V2,0.085000,0.013025
3,5,V3,0.032500,0.013025
3,5,V4,0.092500,0.013025
3,5,V5,0.117500,0.013025
3,5,V6,0.127500,0.013025
3,5,V7,0.078125,0.013025
3,5,V8,0.006875,0.013025
3,5,V9,0.001875,0.013025
3,5,V10,0.080625,0.013025
3,5,V11,0.016875,0.013025
3,5,V12,0.090000,0.013025
3,5,V13,0.025000,0.013025
3,5,V14,0.180000,0.013025
3,5,V15,0.004375,0.013025
3,5,V16,0.023750,0.013025
3,5,V17,0.018750,0.013025
3,5,V18,0.005000,0.013025
3,5,V19,0.000625,0.013025
3,5,V20,0.081875,0.013025
3,5,V21,0.003125,0.013025
3,5,V22,0.018750,0.013025
3,5,V23,0.006250,0.013025
3,5,V24,0.000000,0.013025
3,5,V25,0.000625,0.013025
3,5,V26,0.002500,0.013025
3,5,V27,0.000000,0.013025
3,5,V28,0.027500,0.013025
3,5,Amount,0.001875,0.013025
