seed,fold,feature,shap_importance,time_to_generate
3,1,Year,0.003000,0.046567
3,1,Month,0.001750,0.046567
3,1,Day,0.000750,0.046567
3,1,Time,0.000000,0.046567
3,1,Amount,0.000500,0.046567
3,1,MCC,0.001250,0.046567
3,1,UC,0.553750,0.046567
3,1,MN,0.001750,0.046567
3,1,MC,0.015000,0.046567
3,1,MS,0.012000,0.046567
3,1,Zip,0.000250,0.046567
3,1,errors,0.000000,0.046567
3,2,Year,0.007250,0.025136
3,2,Month,0.000000,0.025136
3,2,Day,0.000000,0.025136
3,2,Time,0.000000,0.025136
3,2,Amount,0.004250,0.025136
3,2,MCC,0.002000,0.025136
3,2,UC,0.603000,0.025136
3,2,MN,0.012500,0.025136
3,2,MC,0.023000,0.025136
3,2,MS,0.022750,0.025136
3,2,Zip,0.000750,0.025136
3,2,errors,0.000500,0.025136
3,3,Year,0.001500,0.023584
3,3,Month,0.000250,0.023584
3,3,Day,0.000000,0.023584
3,3,Time,0.000000,0.023584
3,3,Amount,0.002500,0.023584
3,3,MCC,0.001000,0.023584
3,3,UC,0.314750,0.023584
3,3,MN,0.318500,0.023584
3,3,MC,0.004250,0.023584
3,3,MS,0.005500,0.023584
3,3,Zip,0.001750,0.023584
3,3,errors,0.000000,0.023584
3,4,Year,0.004000,0.023141
3,4,Month,0.000000,0.023141
3,4,Day,0.001000,0.023141
3,4,Time,0.000250,0.023141
3,4,Amount,0.001250,0.023141
3,4,MCC,0.003500,0.023141
3,4,UC,0.601000,0.023141
3,4,MN,0.003000,0.023141
3,4,MC,0.040500,0.023141
3,4,MS,0.000500,0.023141
3,4,Zip,0.000250,0.023141
3,4,errors,0.000250,0.023141
3,5,Year,0.013250,0.026395
3,5,Month,0.001250,0.026395
3,5,Day,0.003750,0.026395
3,5,Time,0.000750,0.026395
3,5,Amount,0.043500,0.026395
3,5,MCC,0.008750,0.026395
3,5,UC,0.613750,0.026395
3,5,MN,0.000750,0.026395
3,5,MC,0.010250,0.026395
3,5,MS,0.001250,0.026395
3,5,Zip,0.079250,0.026395
3,5,errors,0.000000,0.026395
