algorithm,fold,lime_logreg_intersection_count,shap_logreg_intersection_count
DecisionTree,1,9,9
DecisionTree,2,8,9
DecisionTree,3,9,8
DecisionTree,4,8,8
DecisionTree,5,9,9
LinearSVC,1,8,9
LinearSVC,2,8,8
LinearSVC,3,8,8
LinearSVC,4,8,8
LinearSVC,5,9,9
LogisticRegression,1,9,9
LogisticRegression,2,8,8
LogisticRegression,3,8,9
LogisticRegression,4,8,8
LogisticRegression,5,9,9
MLP,1,8,9
MLP,2,9,8
MLP,3,8,8
MLP,4,8,8
MLP,5,8,8
RandomForest,1,8,8
RandomForest,2,8,9
RandomForest,3,9,8
RandomForest,4,8,8
RandomForest,5,8,9
