seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
4,1,PCD,PCD > 28.14,0.111460,0.078206
4,1,card6,card6 > 2.38,0.084854,0.078206
4,1,card3,card3 > 0.00,0.076951,0.078206
4,1,DI,-0.67 < DI <= 0.04,-0.026041,0.078206
4,1,M1,0.01 < M1 <= 0.18,-0.024259,0.078206
4,1,TA,TA <= -0.36,-0.023673,0.078206
4,1,M3,0.06 < M3 <= 0.37,-0.020316,0.078206
4,1,M6,0.15 < M6 <= 0.38,0.019475,0.078206
4,1,M4,M4 > 0.15,-0.015910,0.078206
4,1,card5,card5 <= -1.00,-0.015900,0.078206
4,2,card6,card6 > 2.42,0.083344,0.027986
4,2,M5,M5 > 0.18,0.076121,0.027986
4,2,card3,card3 <= 0.00,-0.072311,0.027986
4,2,PCD,-0.40 < PCD <= 0.09,-0.044378,0.027986
4,2,TA,TA > 0.96,0.043993,0.027986
4,2,DI,-0.70 < DI <= 0.05,-0.026110,0.027986
4,2,M1,0.01 < M1 <= 0.18,-0.026106,0.027986
4,2,M3,0.06 < M3 <= 0.35,-0.023813,0.027986
4,2,M6,0.13 < M6 <= 0.38,0.019041,0.027986
4,2,card5,card5 <= -1.00,-0.015457,0.027986
4,3,card3,card3 <= 0.00,-0.079566,0.027653
4,3,TA,TA > 0.99,0.043182,0.027653
4,3,PCD,-0.35 < PCD <= 0.09,-0.041656,0.027653
4,3,card6,-0.13 < card6 <= 0.01,-0.038169,0.027653
4,3,M1,0.02 < M1 <= 0.19,-0.035507,0.027653
4,3,DI,-0.69 < DI <= 0.04,-0.023821,0.027653
4,3,M6,0.16 < M6 <= 0.41,0.019476,0.027653
4,3,M9,0.03 < M9 <= 0.25,-0.015256,0.027653
4,3,M5,-0.62 < M5 <= 0.01,-0.013052,0.027653
4,3,M3,0.04 < M3 <= 0.28,-0.012780,0.027653
4,4,card6,card6 > 2.34,0.086936,0.028019
4,4,card3,card3 <= 0.00,-0.078962,0.028019
4,4,PCD,-0.34 < PCD <= 0.11,-0.042797,0.028019
4,4,M1,0.01 < M1 <= 0.15,-0.029280,0.028019
4,4,DI,0.05 < DI <= 0.21,-0.026352,0.028019
4,4,M3,0.05 < M3 <= 0.31,-0.021071,0.028019
4,4,M6,0.14 < M6 <= 0.39,0.020435,0.028019
4,4,M5,-0.65 < M5 <= 0.01,-0.013363,0.028019
4,4,card5,-0.03 < card5 <= 0.00,0.012071,0.028019
4,4,M7,0.02 < M7 <= 0.19,-0.011217,0.028019
4,5,card3,card3 <= 0.00,-0.074321,0.028989
4,5,M6,M6 <= -0.28,-0.048276,0.028989
4,5,PCD,-0.31 < PCD <= 0.12,-0.045195,0.028989
4,5,card6,-0.10 < card6 <= 0.01,-0.039500,0.028989
4,5,M1,0.02 < M1 <= 0.21,-0.031451,0.028989
4,5,DI,-0.65 < DI <= 0.05,-0.022012,0.028989
4,5,card5,card5 <= -1.00,-0.018375,0.028989
4,5,M3,0.06 < M3 <= 0.36,-0.017793,0.028989
4,5,M5,-0.67 < M5 <= 0.01,-0.014074,0.028989
4,5,TA,-0.36 < TA <= 0.03,-0.012495,0.028989
