seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
4,1,PCD,PCD > 28.14,0.197653,0.028549
4,1,card6,card6 > 2.38,0.163744,0.028549
4,1,card3,card3 > 0.00,0.154406,0.028549
4,1,DI,-0.67 < DI <= 0.04,-0.073951,0.028549
4,1,TA,TA <= -0.36,-0.048951,0.028549
4,1,M1,0.01 < M1 <= 0.18,-0.043711,0.028549
4,1,card5,card5 <= -1.00,-0.037534,0.028549
4,1,M6,0.15 < M6 <= 0.38,0.035281,0.028549
4,1,M3,0.06 < M3 <= 0.37,-0.034344,0.028549
4,1,M4,M4 > 0.15,-0.028922,0.028549
4,2,card6,card6 > 2.42,0.161400,0.027951
4,2,card3,card3 <= 0.00,-0.144685,0.027951
4,2,M5,M5 > 0.18,0.137458,0.027951
4,2,TA,TA > 0.96,0.085797,0.027951
4,2,PCD,-0.40 < PCD <= 0.09,-0.078752,0.027951
4,2,DI,-0.70 < DI <= 0.05,-0.074989,0.027951
4,2,M1,0.01 < M1 <= 0.18,-0.048271,0.027951
4,2,M3,0.06 < M3 <= 0.35,-0.039526,0.027951
4,2,card5,card5 <= -1.00,-0.037215,0.027951
4,2,M6,0.13 < M6 <= 0.38,0.034227,0.027951
4,3,card3,card3 <= 0.00,-0.158502,0.027914
4,3,TA,TA > 0.99,0.084132,0.027914
4,3,card6,-0.13 < card6 <= 0.01,-0.073145,0.027914
4,3,PCD,-0.35 < PCD <= 0.09,-0.072784,0.027914
4,3,DI,-0.69 < DI <= 0.04,-0.071832,0.027914
4,3,M1,0.02 < M1 <= 0.19,-0.063273,0.027914
4,3,M6,0.16 < M6 <= 0.41,0.035556,0.027914
4,3,M9,0.03 < M9 <= 0.25,-0.025098,0.027914
4,3,M7,0.03 < M7 <= 0.23,-0.023733,0.027914
4,3,M5,-0.62 < M5 <= 0.01,-0.022564,0.027914
4,4,card6,card6 > 2.34,0.166535,0.027848
4,4,card3,card3 <= 0.00,-0.157301,0.027848
4,4,PCD,-0.34 < PCD <= 0.11,-0.076341,0.027848
4,4,DI,0.05 < DI <= 0.21,-0.073653,0.027848
4,4,M1,0.01 < M1 <= 0.15,-0.054233,0.027848
4,4,M3,0.05 < M3 <= 0.31,-0.036625,0.027848
4,4,M6,0.14 < M6 <= 0.39,0.036250,0.027848
4,4,card5,-0.03 < card5 <= 0.00,0.027919,0.027848
4,4,M5,-0.65 < M5 <= 0.01,-0.023329,0.027848
4,4,M7,0.02 < M7 <= 0.19,-0.021543,0.027848
4,5,card3,card3 <= 0.00,-0.149019,0.027743
4,5,M6,M6 <= -0.28,-0.090409,0.027743
4,5,PCD,-0.31 < PCD <= 0.12,-0.081031,0.027743
4,5,card6,-0.10 < card6 <= 0.01,-0.076216,0.027743
4,5,DI,-0.65 < DI <= 0.05,-0.068520,0.027743
4,5,M1,0.02 < M1 <= 0.21,-0.056201,0.027743
4,5,card5,card5 <= -1.00,-0.042341,0.027743
4,5,M3,0.06 < M3 <= 0.36,-0.029698,0.027743
4,5,M5,-0.67 < M5 <= 0.01,-0.025181,0.027743
4,5,M7,0.02 < M7 <= 0.22,-0.025074,0.027743
