algorithm,fold,lime_logreg_intersection_count,shap_logreg_intersection_count
DecisionTree,1,6,5
DecisionTree,2,4,4
DecisionTree,3,6,4
DecisionTree,4,3,4
DecisionTree,5,5,4
LinearSVC,1,5,6
LinearSVC,2,6,7
LinearSVC,3,6,6
LinearSVC,4,7,8
LinearSVC,5,6,4
LogisticRegression,1,5,6
LogisticRegression,2,6,7
LogisticRegression,3,6,7
LogisticRegression,4,7,9
LogisticRegression,5,7,4
MLP,1,3,5
MLP,2,3,5
MLP,3,3,5
MLP,4,4,5
MLP,5,4,3
RandomForest,1,4,4
RandomForest,2,5,3
RandomForest,3,4,3
RandomForest,4,4,5
RandomForest,5,4,5
