seed,fold,feature,shap_importance,time_to_generate
4,1,Time,0.024375,0.013656
4,1,V1,0.024375,0.013656
4,1,V2,0.005000,0.013656
4,1,V3,0.008125,0.013656
4,1,V4,0.068750,0.013656
4,1,V5,0.028125,0.013656
4,1,V6,0.005625,0.013656
4,1,V7,0.040625,0.013656
4,1,V8,0.010625,0.013656
4,1,V9,0.014375,0.013656
4,1,V10,0.022500,0.013656
4,1,V11,0.003125,0.013656
4,1,V12,0.136875,0.013656
4,1,V13,0.000625,0.013656
4,1,V14,0.095000,0.013656
4,1,V15,0.001875,0.013656
4,1,V16,0.055625,0.013656
4,1,V17,0.036875,0.013656
4,1,V18,0.000000,0.013656
4,1,V19,0.006875,0.013656
4,1,V20,0.000625,0.013656
4,1,V21,0.000000,0.013656
4,1,V22,0.015000,0.013656
4,1,V23,0.002500,0.013656
4,1,V24,0.000000,0.013656
4,1,V25,0.005625,0.013656
4,1,V26,0.003750,0.013656
4,1,V27,0.000625,0.013656
4,1,V28,0.004375,0.013656
4,1,Amount,0.039375,0.013656
4,2,Time,0.011875,0.012902
4,2,V1,0.008125,0.012902
4,2,V2,0.000625,0.012902
4,2,V3,0.003125,0.012902
4,2,V4,0.068125,0.012902
4,2,V5,0.018750,0.012902
4,2,V6,0.015000,0.012902
4,2,V7,0.001875,0.012902
4,2,V8,0.007500,0.012902
4,2,V9,0.011250,0.012902
4,2,V10,0.078750,0.012902
4,2,V11,0.033750,0.012902
4,2,V12,0.069375,0.012902
4,2,V13,0.003750,0.012902
4,2,V14,0.193125,0.012902
4,2,V15,0.005000,0.012902
4,2,V16,0.021875,0.012902
4,2,V17,0.034375,0.012902
4,2,V18,0.013125,0.012902
4,2,V19,0.000625,0.012902
4,2,V20,0.001875,0.012902
4,2,V21,0.000000,0.012902
4,2,V22,0.001875,0.012902
4,2,V23,0.000000,0.012902
4,2,V24,0.000625,0.012902
4,2,V25,0.000625,0.012902
4,2,V26,0.008750,0.012902
4,2,V27,0.005625,0.012902
4,2,V28,0.000625,0.012902
4,2,Amount,0.003750,0.012902
4,3,Time,0.023125,0.013047
4,3,V1,0.001875,0.013047
4,3,V2,0.011250,0.013047
4,3,V3,0.049375,0.013047
4,3,V4,0.044375,0.013047
4,3,V5,0.012500,0.013047
4,3,V6,0.003125,0.013047
4,3,V7,0.001875,0.013047
4,3,V8,0.029375,0.013047
4,3,V9,0.004375,0.013047
4,3,V10,0.065000,0.013047
4,3,V11,0.001250,0.013047
4,3,V12,0.135000,0.013047
4,3,V13,0.010000,0.013047
4,3,V14,0.031875,0.013047
4,3,V15,0.006875,0.013047
4,3,V16,0.050000,0.013047
4,3,V17,0.066250,0.013047
4,3,V18,0.001875,0.013047
4,3,V19,0.001875,0.013047
4,3,V20,0.006875,0.013047
4,3,V21,0.009375,0.013047
4,3,V22,0.005000,0.013047
4,3,V23,0.016875,0.013047
4,3,V24,0.000625,0.013047
4,3,V25,0.003750,0.013047
4,3,V26,0.006875,0.013047
4,3,V27,0.008125,0.013047
4,3,V28,0.000625,0.013047
4,3,Amount,0.033125,0.013047
4,4,Time,0.013125,0.013046
4,4,V1,0.005000,0.013046
4,4,V2,0.007500,0.013046
4,4,V3,0.003125,0.013046
4,4,V4,0.005625,0.013046
4,4,V5,0.019375,0.013046
4,4,V6,0.010000,0.013046
4,4,V7,0.001250,0.013046
4,4,V8,0.001875,0.013046
4,4,V9,0.001250,0.013046
4,4,V10,0.056250,0.013046
4,4,V11,0.024375,0.013046
4,4,V12,0.130000,0.013046
4,4,V13,0.006250,0.013046
4,4,V14,0.190000,0.013046
4,4,V15,0.001250,0.013046
4,4,V16,0.046250,0.013046
4,4,V17,0.036250,0.013046
4,4,V18,0.004375,0.013046
4,4,V19,0.002500,0.013046
4,4,V20,0.002500,0.013046
4,4,V21,0.000625,0.013046
4,4,V22,0.002500,0.013046
4,4,V23,0.001875,0.013046
4,4,V24,0.000625,0.013046
4,4,V25,0.000625,0.013046
4,4,V26,0.013750,0.013046
4,4,V27,0.000625,0.013046
4,4,V28,0.006250,0.013046
4,4,Amount,0.003750,0.013046
4,5,Time,0.003125,0.012944
4,5,V1,0.001875,0.012944
4,5,V2,0.000625,0.012944
4,5,V3,0.001250,0.012944
4,5,V4,0.000625,0.012944
4,5,V5,0.006875,0.012944
4,5,V6,0.000625,0.012944
4,5,V7,0.000000,0.012944
4,5,V8,0.000625,0.012944
4,5,V9,0.007500,0.012944
4,5,V10,0.081875,0.012944
4,5,V11,0.040625,0.012944
4,5,V12,0.020625,0.012944
4,5,V13,0.006250,0.012944
4,5,V14,0.345625,0.012944
4,5,V15,0.006875,0.012944
4,5,V16,0.008750,0.012944
4,5,V17,0.001250,0.012944
4,5,V18,0.002500,0.012944
4,5,V19,0.006250,0.012944
4,5,V20,0.000625,0.012944
4,5,V21,0.006250,0.012944
4,5,V22,0.006875,0.012944
4,5,V23,0.000000,0.012944
4,5,V24,0.000625,0.012944
4,5,V25,0.000625,0.012944
4,5,V26,0.024375,0.012944
4,5,V27,0.000000,0.012944
4,5,V28,0.000000,0.012944
4,5,Amount,0.004375,0.012944
