seed,fold,feature,shap_importance,time_to_generate
4,1,Time,0.000625,0.026822
4,1,V1,0.072500,0.026822
4,1,V2,0.032500,0.026822
4,1,V3,0.033125,0.026822
4,1,V4,0.025625,0.026822
4,1,V5,0.051875,0.026822
4,1,V6,0.021875,0.026822
4,1,V7,0.019375,0.026822
4,1,V8,0.043750,0.026822
4,1,V9,0.016250,0.026822
4,1,V10,0.051875,0.026822
4,1,V11,0.093125,0.026822
4,1,V12,0.112500,0.026822
4,1,V13,0.095625,0.026822
4,1,V14,0.187500,0.026822
4,1,V15,0.013125,0.026822
4,1,V16,0.023750,0.026822
4,1,V17,0.088750,0.026822
4,1,V18,0.078750,0.026822
4,1,V19,0.026250,0.026822
4,1,V20,0.036250,0.026822
4,1,V21,0.043125,0.026822
4,1,V22,0.045000,0.026822
4,1,V23,0.012500,0.026822
4,1,V24,0.033750,0.026822
4,1,V25,0.061875,0.026822
4,1,V26,0.031250,0.026822
4,1,V27,0.005000,0.026822
4,1,V28,0.060625,0.026822
4,1,Amount,0.014375,0.026822
4,2,Time,0.013750,0.045002
4,2,V1,0.004375,0.045002
4,2,V2,0.007500,0.045002
4,2,V3,0.008125,0.045002
4,2,V4,0.018750,0.045002
4,2,V5,0.005000,0.045002
4,2,V6,0.062500,0.045002
4,2,V7,0.020625,0.045002
4,2,V8,0.008125,0.045002
4,2,V9,0.009375,0.045002
4,2,V10,0.155625,0.045002
4,2,V11,0.013750,0.045002
4,2,V12,0.035000,0.045002
4,2,V13,0.000625,0.045002
4,2,V14,0.271250,0.045002
4,2,V15,0.035000,0.045002
4,2,V16,0.010000,0.045002
4,2,V17,0.068125,0.045002
4,2,V18,0.083125,0.045002
4,2,V19,0.006250,0.045002
4,2,V20,0.033750,0.045002
4,2,V21,0.014375,0.045002
4,2,V22,0.002500,0.045002
4,2,V23,0.005000,0.045002
4,2,V24,0.005000,0.045002
4,2,V25,0.001875,0.045002
4,2,V26,0.006875,0.045002
4,2,V27,0.008125,0.045002
4,2,V28,0.016875,0.045002
4,2,Amount,0.000000,0.045002
4,3,Time,0.010000,0.026233
4,3,V1,0.033750,0.026233
4,3,V2,0.016250,0.026233
4,3,V3,0.050625,0.026233
4,3,V4,0.058750,0.026233
4,3,V5,0.055000,0.026233
4,3,V6,0.036250,0.026233
4,3,V7,0.101250,0.026233
4,3,V8,0.023125,0.026233
4,3,V9,0.010625,0.026233
4,3,V10,0.021875,0.026233
4,3,V11,0.072500,0.026233
4,3,V12,0.008125,0.026233
4,3,V13,0.075000,0.026233
4,3,V14,0.180000,0.026233
4,3,V15,0.043125,0.026233
4,3,V16,0.008750,0.026233
4,3,V17,0.025000,0.026233
4,3,V18,0.006875,0.026233
4,3,V19,0.021250,0.026233
4,3,V20,0.021250,0.026233
4,3,V21,0.023750,0.026233
4,3,V22,0.096250,0.026233
4,3,V23,0.009375,0.026233
4,3,V24,0.073125,0.026233
4,3,V25,0.050000,0.026233
4,3,V26,0.020625,0.026233
4,3,V27,0.013125,0.026233
4,3,V28,0.103125,0.026233
4,3,Amount,0.036250,0.026233
4,4,Time,0.003750,0.070263
4,4,V1,0.042500,0.070263
4,4,V2,0.008125,0.070263
4,4,V3,0.001875,0.070263
4,4,V4,0.019375,0.070263
4,4,V5,0.023750,0.070263
4,4,V6,0.081875,0.070263
4,4,V7,0.054375,0.070263
4,4,V8,0.006250,0.070263
4,4,V9,0.001250,0.070263
4,4,V10,0.106250,0.070263
4,4,V11,0.037500,0.070263
4,4,V12,0.034375,0.070263
4,4,V13,0.001875,0.070263
4,4,V14,0.332500,0.070263
4,4,V15,0.006875,0.070263
4,4,V16,0.021875,0.070263
4,4,V17,0.066875,0.070263
4,4,V18,0.011875,0.070263
4,4,V19,0.003750,0.070263
4,4,V20,0.000625,0.070263
4,4,V21,0.064375,0.070263
4,4,V22,0.020000,0.070263
4,4,V23,0.001875,0.070263
4,4,V24,0.002500,0.070263
4,4,V25,0.001250,0.070263
4,4,V26,0.003750,0.070263
4,4,V27,0.045625,0.070263
4,4,V28,0.028125,0.070263
4,4,Amount,0.002500,0.070263
4,5,Time,0.010625,0.039260
4,5,V1,0.005000,0.039260
4,5,V2,0.002500,0.039260
4,5,V3,0.001875,0.039260
4,5,V4,0.029375,0.039260
4,5,V5,0.034375,0.039260
4,5,V6,0.018750,0.039260
4,5,V7,0.015000,0.039260
4,5,V8,0.000625,0.039260
4,5,V9,0.003125,0.039260
4,5,V10,0.074375,0.039260
4,5,V11,0.058750,0.039260
4,5,V12,0.102500,0.039260
4,5,V13,0.017500,0.039260
4,5,V14,0.086875,0.039260
4,5,V15,0.005000,0.039260
4,5,V16,0.123125,0.039260
4,5,V17,0.004375,0.039260
4,5,V18,0.041875,0.039260
4,5,V19,0.001875,0.039260
4,5,V20,0.001875,0.039260
4,5,V21,0.010625,0.039260
4,5,V22,0.018750,0.039260
4,5,V23,0.002500,0.039260
4,5,V24,0.020000,0.039260
4,5,V25,0.016250,0.039260
4,5,V26,0.038750,0.039260
4,5,V27,0.026875,0.039260
4,5,V28,0.024375,0.039260
4,5,Amount,0.007500,0.039260
