algorithm,fold,lime_logreg_intersection_count,shap_logreg_intersection_count
DecisionTree,1,6,4
DecisionTree,2,6,6
DecisionTree,3,5,4
DecisionTree,4,4,7
DecisionTree,5,5,6
LinearSVC,1,9,7
LinearSVC,2,5,8
LinearSVC,3,7,6
LinearSVC,4,8,7
LinearSVC,5,6,7
LogisticRegression,1,8,7
LogisticRegression,2,6,8
LogisticRegression,3,7,5
LogisticRegression,4,7,7
LogisticRegression,5,8,8
MLP,1,8,6
MLP,2,5,5
MLP,3,6,4
MLP,4,7,6
MLP,5,4,7
RandomForest,1,7,5
RandomForest,2,8,7
RandomForest,3,6,5
RandomForest,4,6,6
RandomForest,5,7,7
