seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
4,1,MN,MN <= -0.12,-0.070637,0.025373
4,1,UC,0.60 < UC <= 20.16,0.026913,0.025373
4,1,errors,errors <= -0.65,-0.019953,0.025373
4,1,MCC,-0.69 < MCC <= -0.17,0.017382,0.025373
4,1,Zip,0.67 < Zip <= 0.72,-0.013894,0.025373
4,1,MS,3.84 < MS <= 4.77,-0.011451,0.025373
4,1,Year,Year <= -0.57,-0.010389,0.025373
4,1,Time,Time > 0.37,-0.007888,0.025373
4,1,MC,10.31 < MC <= 59.38,0.007304,0.025373
4,1,Amount,0.32 < Amount <= 1.23,0.006444,0.025373
4,2,MC,10.31 < MC <= 58.80,-0.052725,0.025947
4,2,errors,errors <= -0.67,-0.049101,0.025947
4,2,MN,0.89 < MN <= 4.96,0.039201,0.025947
4,2,Amount,-0.26 < Amount <= 0.31,-0.024727,0.025947
4,2,MS,3.55 < MS <= 4.59,0.024035,0.025947
4,2,UC,0.71 < UC <= 16.89,0.014537,0.025947
4,2,Day,Day > 0.43,0.012702,0.025947
4,2,MCC,-0.62 < MCC <= -0.17,0.009498,0.025947
4,2,Month,-0.05 < Month <= 0.29,0.009442,0.025947
4,2,Year,-0.54 < Year <= -0.12,0.004810,0.025947
4,3,MC,-0.02 < MC <= 11.38,-0.167621,0.023316
4,3,UC,UC <= -0.06,-0.041206,0.023316
4,3,MN,0.84 < MN <= 4.45,0.038819,0.023316
4,3,MS,MS <= -0.06,-0.020416,0.023316
4,3,Year,-0.12 < Year <= 0.33,-0.010551,0.023316
4,3,errors,errors <= -0.70,-0.009591,0.023316
4,3,Amount,Amount <= -0.25,-0.007743,0.023316
4,3,Month,Month <= -0.43,0.005828,0.023316
4,3,Day,Day <= -0.45,-0.004764,0.023316
4,3,Zip,-0.14 < Zip <= 0.67,-0.001948,0.023316
4,4,MC,MC <= -0.02,-0.146635,0.021321
4,4,MN,0.85 < MN <= 4.70,0.076284,0.021321
4,4,MS,MS <= -0.06,-0.055603,0.021321
4,4,UC,UC <= -0.03,-0.022242,0.021321
4,4,Year,Year <= -0.50,0.009286,0.021321
4,4,MCC,MCC <= -0.67,0.007966,0.021321
4,4,Month,Month > 0.29,-0.007170,0.021321
4,4,Time,Time > 0.38,-0.005922,0.021321
4,4,Zip,-0.14 < Zip <= 0.66,-0.005152,0.021321
4,4,errors,errors <= -0.61,0.003141,0.021321
4,5,MC,MC > 66.31,0.293228,0.021426
4,5,MN,-0.12 < MN <= 0.82,-0.088917,0.021426
4,5,MS,MS > 4.23,0.072173,0.021426
4,5,UC,UC > 22.53,0.054915,0.021426
4,5,MCC,MCC <= -0.57,0.011929,0.021426
4,5,Zip,0.66 < Zip <= 0.72,0.008770,0.021426
4,5,Time,Time <= -0.42,0.008152,0.021426
4,5,Amount,Amount <= -0.26,-0.003920,0.021426
4,5,Year,-0.51 < Year <= -0.12,-0.003075,0.021426
4,5,Month,Month <= -0.43,0.001144,0.021426
