seed,fold,feature,shap_importance,time_to_generate
5,1,TA,0.113333,0.021497
5,1,card1,0.059167,0.021497
5,1,card2,0.036250,0.021497
5,1,card3,0.239167,0.021497
5,1,card5,0.039167,0.021497
5,1,PCD,0.095417,0.021497
5,1,M1,0.004167,0.021497
5,1,M2,0.000417,0.021497
5,1,M3,0.013333,0.021497
5,1,M4,0.010417,0.021497
5,1,card4,0.010417,0.021497
5,1,card6,0.024583,0.021497
5,1,DT,0.005000,0.021497
5,1,DI,0.009583,0.021497
5,1,M5,0.031250,0.021497
5,1,M6,0.065417,0.021497
5,1,M7,0.002500,0.021497
5,1,M8,0.005833,0.021497
5,1,M9,0.001250,0.021497
5,2,TA,0.061250,0.020405
5,2,card1,0.120000,0.020405
5,2,card2,0.030417,0.020405
5,2,card3,0.227917,0.020405
5,2,card5,0.002500,0.020405
5,2,PCD,0.199583,0.020405
5,2,M1,0.005417,0.020405
5,2,M2,0.001250,0.020405
5,2,M3,0.004583,0.020405
5,2,M4,0.021667,0.020405
5,2,card4,0.005000,0.020405
5,2,card6,0.062500,0.020405
5,2,DT,0.125417,0.020405
5,2,DI,0.078333,0.020405
5,2,M5,0.028333,0.020405
5,2,M6,0.003750,0.020405
5,2,M7,0.002083,0.020405
5,2,M8,0.008333,0.020405
5,2,M9,0.003333,0.020405
5,3,TA,0.115833,0.021237
5,3,card1,0.090417,0.021237
5,3,card2,0.017083,0.021237
5,3,card3,0.023750,0.021237
5,3,card5,0.096667,0.021237
5,3,PCD,0.021667,0.021237
5,3,M1,0.003333,0.021237
5,3,M2,0.030000,0.021237
5,3,M3,0.021667,0.021237
5,3,M4,0.037500,0.021237
5,3,card4,0.036250,0.021237
5,3,card6,0.013750,0.021237
5,3,DT,0.038333,0.021237
5,3,DI,0.035833,0.021237
5,3,M5,0.015000,0.021237
5,3,M6,0.048333,0.021237
5,3,M7,0.000000,0.021237
5,3,M8,0.003750,0.021237
5,3,M9,0.027500,0.021237
5,4,TA,0.078333,0.020642
5,4,card1,0.057500,0.020642
5,4,card2,0.037083,0.020642
5,4,card3,0.194167,0.020642
5,4,card5,0.043750,0.020642
5,4,PCD,0.266667,0.020642
5,4,M1,0.005833,0.020642
5,4,M2,0.006250,0.020642
5,4,M3,0.007083,0.020642
5,4,M4,0.118750,0.020642
5,4,card4,0.146667,0.020642
5,4,card6,0.048333,0.020642
5,4,DT,0.030417,0.020642
5,4,DI,0.081667,0.020642
5,4,M5,0.042500,0.020642
5,4,M6,0.003750,0.020642
5,4,M7,0.005417,0.020642
5,4,M8,0.014583,0.020642
5,4,M9,0.001250,0.020642
5,5,TA,0.040417,0.021276
5,5,card1,0.097500,0.021276
5,5,card2,0.005417,0.021276
5,5,card3,0.051667,0.021276
5,5,card5,0.267917,0.021276
5,5,PCD,0.208750,0.021276
5,5,M1,0.005417,0.021276
5,5,M2,0.025000,0.021276
5,5,M3,0.001250,0.021276
5,5,M4,0.017500,0.021276
5,5,card4,0.077500,0.021276
5,5,card6,0.021250,0.021276
5,5,DT,0.016667,0.021276
5,5,DI,0.112917,0.021276
5,5,M5,0.108750,0.021276
5,5,M6,0.007083,0.021276
5,5,M7,0.002500,0.021276
5,5,M8,0.012083,0.021276
5,5,M9,0.005417,0.021276
