seed,fold,feature,model_importance
5,1,Time,0.936453
5,1,V1,2.086489
5,1,V2,1.230394
5,1,V3,0.657246
5,1,V4,1.179522
5,1,V5,1.290875
5,1,V6,0.692719
5,1,V7,0.808403
5,1,V8,0.204135
5,1,V9,0.654175
5,1,V10,0.715512
5,1,V11,0.854155
5,1,V12,1.173265
5,1,V13,0.487104
5,1,V14,1.475199
5,1,V15,0.207548
5,1,V16,0.814597
5,1,V17,0.917410
5,1,V18,0.397006
5,1,V19,0.441439
5,1,V20,0.364831
5,1,V21,0.052575
5,1,V22,0.646218
5,1,V23,0.391340
5,1,V24,0.186310
5,1,V25,0.144491
5,1,V26,0.167312
5,1,V27,0.045261
5,1,V28,0.164701
5,1,Amount,0.775730
5,2,Time,0.887443
5,2,V1,1.644070
5,2,V2,0.040139
5,2,V3,0.170741
5,2,V4,1.752596
5,2,V5,0.767882
5,2,V6,0.420394
5,2,V7,0.116965
5,2,V8,0.326051
5,2,V9,0.843376
5,2,V10,1.394846
5,2,V11,0.847158
5,2,V12,0.999565
5,2,V13,0.472123
5,2,V14,1.517235
5,2,V15,0.133610
5,2,V16,0.775857
5,2,V17,0.975655
5,2,V18,0.363668
5,2,V19,0.590640
5,2,V20,0.186130
5,2,V21,0.046340
5,2,V22,0.633623
5,2,V23,0.012496
5,2,V24,0.044331
5,2,V25,0.043332
5,2,V26,0.312625
5,2,V27,0.009996
5,2,V28,0.075472
5,2,Amount,0.265409
5,3,Time,0.686035
5,3,V1,1.666193
5,3,V2,0.685450
5,3,V3,0.721715
5,3,V4,1.259478
5,3,V5,0.856185
5,3,V6,0.641554
5,3,V7,0.421528
5,3,V8,0.262797
5,3,V9,0.694077
5,3,V10,0.926458
5,3,V11,0.840425
5,3,V12,1.153251
5,3,V13,0.549020
5,3,V14,1.433958
5,3,V15,0.051551
5,3,V16,0.673253
5,3,V17,0.923120
5,3,V18,0.345593
5,3,V19,0.339194
5,3,V20,0.273880
5,3,V21,0.022265
5,3,V22,0.674527
5,3,V23,0.128371
5,3,V24,0.134582
5,3,V25,0.107455
5,3,V26,0.314866
5,3,V27,0.051701
5,3,V28,0.120233
5,3,Amount,0.536556
5,4,Time,0.589627
5,4,V1,1.597393
5,4,V2,0.411151
5,4,V3,0.545052
5,4,V4,1.343703
5,4,V5,0.891288
5,4,V6,0.572642
5,4,V7,0.556013
5,4,V8,0.280408
5,4,V9,0.510994
5,4,V10,1.037190
5,4,V11,1.077859
5,4,V12,1.302994
5,4,V13,0.605035
5,4,V14,1.525614
5,4,V15,0.074670
5,4,V16,0.546707
5,4,V17,0.874456
5,4,V18,0.369986
5,4,V19,0.270744
5,4,V20,0.254916
5,4,V21,0.036497
5,4,V22,0.700477
5,4,V23,0.152544
5,4,V24,0.003199
5,4,V25,0.030114
5,4,V26,0.209741
5,4,V27,0.024861
5,4,V28,0.088867
5,4,Amount,0.467089
5,5,Time,0.748162
5,5,V1,1.660554
5,5,V2,0.846020
5,5,V3,0.788788
5,5,V4,1.426755
5,5,V5,1.115375
5,5,V6,0.767848
5,5,V7,0.450277
5,5,V8,0.098741
5,5,V9,0.489241
5,5,V10,1.219319
5,5,V11,0.885399
5,5,V12,1.028012
5,5,V13,0.557095
5,5,V14,1.271335
5,5,V15,0.141843
5,5,V16,0.916485
5,5,V17,0.837484
5,5,V18,0.015918
5,5,V19,0.035366
5,5,V20,0.401523
5,5,V21,0.126862
5,5,V22,0.517351
5,5,V23,0.211386
5,5,V24,0.174019
5,5,V25,0.112400
5,5,V26,0.485892
5,5,V27,0.003204
5,5,V28,0.066032
5,5,Amount,0.607578
