seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
5,1,V4,V4 > 2.49,0.120422,0.046725
5,1,V10,-0.77 < V10 <= 0.10,-0.063530,0.046725
5,1,V7,-0.60 < V7 <= 0.20,-0.056669,0.046725
5,1,V16,V16 > 0.23,-0.053479,0.046725
5,1,V11,V11 <= -0.11,-0.053219,0.046725
5,1,V5,V5 > 0.38,0.049984,0.046725
5,1,V20,V20 <= -0.36,0.040459,0.046725
5,1,V17,V17 > 0.37,-0.034341,0.046725
5,1,V12,-5.08 < V12 <= -0.92,0.033399,0.046725
5,1,V15,V15 <= -0.47,-0.033121,0.046725
5,2,V14,-1.21 < V14 <= 0.05,-0.157587,0.046062
5,2,V10,V10 > 0.09,-0.112181,0.046062
5,2,V12,V12 > 0.08,-0.062560,0.046062
5,2,V28,V28 <= -0.48,0.058505,0.046062
5,2,V17,-6.26 < V17 <= -0.52,0.049755,0.046062
5,2,V7,V7 > 0.21,-0.031977,0.046062
5,2,V6,V6 > 0.25,0.031652,0.046062
5,2,V3,V3 > 0.07,-0.030036,0.046062
5,2,V16,V16 > 0.23,-0.029787,0.046062
5,2,V1,-0.32 < V1 <= 0.47,0.026427,0.046062
5,3,V14,V14 <= -7.22,0.371739,0.046401
5,3,V12,V12 <= -5.28,0.136171,0.046401
5,3,V8,V8 <= -0.40,0.130237,0.046401
5,3,V17,V17 <= -5.79,0.128869,0.046401
5,3,V4,V4 > 2.57,0.114329,0.046401
5,3,V16,V16 <= -3.34,0.100432,0.046401
5,3,V1,V1 <= -1.16,-0.086575,0.046401
5,3,V28,V28 > 1.55,-0.074167,0.046401
5,3,V3,V3 <= -2.69,0.068424,0.046401
5,3,V11,V11 > 2.35,0.058719,0.046401
5,4,V14,V14 <= -7.33,0.260196,0.044475
5,4,V8,V8 <= -0.37,0.159728,0.044475
5,4,V4,V4 > 2.63,0.105112,0.044475
5,4,V11,V11 > 2.39,0.081406,0.044475
5,4,V12,V12 <= -5.36,0.076285,0.044475
5,4,V1,V1 <= -1.24,-0.061665,0.044475
5,4,V3,V3 <= -2.66,-0.054126,0.044475
5,4,V5,-0.31 < V5 <= 0.38,0.038039,0.044475
5,4,V16,V16 <= -3.62,0.037495,0.044475
5,4,V2,V2 > 1.96,-0.031568,0.044475
5,5,V14,V14 <= -7.50,0.214619,0.044630
5,5,V4,V4 > 2.62,0.159973,0.044630
5,5,V8,V8 > 1.59,-0.148135,0.044630
5,5,V7,V7 <= -2.71,0.112369,0.044630
5,5,V16,V16 <= -3.49,0.104035,0.044630
5,5,V1,V1 <= -1.24,-0.088452,0.044630
5,5,V12,V12 <= -5.44,0.061868,0.044630
5,5,V3,V3 <= -2.74,-0.054966,0.044630
5,5,V28,V28 > 1.55,-0.051781,0.044630
5,5,V18,-1.70 < V18 <= -0.32,0.044155,0.044630
