seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
5,1,V14,-7.10 < V14 <= -1.18,0.066745,0.072494
5,1,V11,V11 <= -0.11,-0.065093,0.072494
5,1,V4,V4 > 2.49,0.062470,0.072494
5,1,V12,-5.08 < V12 <= -0.92,0.058855,0.072494
5,1,V17,V17 > 0.37,-0.048774,0.072494
5,1,V3,-2.51 < V3 <= -0.80,0.030729,0.072494
5,1,V10,-0.77 < V10 <= 0.10,-0.028857,0.072494
5,1,V16,V16 > 0.23,-0.027757,0.072494
5,1,V2,0.65 < V2 <= 1.83,0.011948,0.072494
5,1,V28,0.20 < V28 <= 1.59,0.010591,0.072494
5,2,V12,V12 > 0.08,-0.086125,0.141953
5,2,V3,V3 > 0.07,-0.081775,0.141953
5,2,V14,-1.21 < V14 <= 0.05,-0.058783,0.141953
5,2,V10,V10 > 0.09,-0.058685,0.141953
5,2,V4,0.86 < V4 <= 2.67,0.052266,0.141953
5,2,V17,-6.26 < V17 <= -0.52,0.034441,0.141953
5,2,V16,V16 > 0.23,-0.033171,0.141953
5,2,V7,V7 > 0.21,-0.015510,0.141953
5,2,Amount,Amount <= -0.27,-0.011253,0.141953
5,2,V15,V15 <= -0.52,0.009318,0.141953
5,3,V14,V14 <= -7.22,0.105517,0.139285
5,3,V12,V12 <= -5.28,0.092176,0.139285
5,3,V17,V17 <= -5.79,0.076852,0.139285
5,3,V4,V4 > 2.57,0.058615,0.139285
5,3,V16,V16 <= -3.34,0.044034,0.139285
5,3,V3,V3 <= -2.69,0.041302,0.139285
5,3,V10,-4.35 < V10 <= -0.82,0.031892,0.139285
5,3,V7,V7 <= -2.55,0.030873,0.139285
5,3,V11,V11 > 2.35,0.025114,0.139285
5,3,V8,V8 <= -0.40,0.015993,0.139285
5,4,V12,V12 <= -5.36,0.097416,0.069957
5,4,V14,V14 <= -7.33,0.087566,0.069957
5,4,V17,V17 <= -6.14,0.073521,0.069957
5,4,V4,V4 > 2.63,0.051426,0.069957
5,4,V3,V3 <= -2.66,0.041895,0.069957
5,4,V11,V11 > 2.39,0.037305,0.069957
5,4,V16,V16 <= -3.62,0.036803,0.069957
5,4,V10,-4.51 < V10 <= -0.80,0.029439,0.069957
5,4,Amount,Amount <= -0.27,-0.012332,0.069957
5,4,V13,V13 <= -0.55,0.011604,0.069957
5,5,V14,V14 <= -7.50,0.104763,0.091240
5,5,V17,V17 <= -5.99,0.082931,0.091240
5,5,V12,V12 <= -5.44,0.081614,0.091240
5,5,V4,V4 > 2.62,0.068269,0.091240
5,5,V16,V16 <= -3.49,0.040301,0.091240
5,5,V11,V11 > 2.44,0.035298,0.091240
5,5,V3,V3 <= -2.74,0.034413,0.091240
5,5,V10,-4.54 < V10 <= -0.79,0.032767,0.091240
5,5,V7,V7 <= -2.71,0.028262,0.091240
5,5,V2,V2 > 1.98,0.017393,0.091240
