seed,fold,feature,shap_importance,time_to_generate
5,1,Time,0.005625,0.203007
5,1,V1,0.013750,0.203007
5,1,V2,0.018125,0.203007
5,1,V3,0.030625,0.203007
5,1,V4,0.074375,0.203007
5,1,V5,0.013125,0.203007
5,1,V6,0.022500,0.203007
5,1,V7,0.005000,0.203007
5,1,V8,0.068125,0.203007
5,1,V9,0.010625,0.203007
5,1,V10,0.086250,0.203007
5,1,V11,0.179375,0.203007
5,1,V12,0.070000,0.203007
5,1,V13,0.021875,0.203007
5,1,V14,0.098125,0.203007
5,1,V15,0.007500,0.203007
5,1,V16,0.012500,0.203007
5,1,V17,0.060625,0.203007
5,1,V18,0.036250,0.203007
5,1,V19,0.014375,0.203007
5,1,V20,0.005000,0.203007
5,1,V21,0.001250,0.203007
5,1,V22,0.020000,0.203007
5,1,V23,0.013125,0.203007
5,1,V24,0.003750,0.203007
5,1,V25,0.008125,0.203007
5,1,V26,0.003125,0.203007
5,1,V27,0.015000,0.203007
5,1,V28,0.031875,0.203007
5,1,Amount,0.072500,0.203007
5,2,Time,0.022500,0.694984
5,2,V1,0.009375,0.694984
5,2,V2,0.063125,0.694984
5,2,V3,0.060625,0.694984
5,2,V4,0.066875,0.694984
5,2,V5,0.078750,0.694984
5,2,V6,0.001875,0.694984
5,2,V7,0.021875,0.694984
5,2,V8,0.078750,0.694984
5,2,V9,0.011250,0.694984
5,2,V10,0.137500,0.694984
5,2,V11,0.002500,0.694984
5,2,V12,0.037500,0.694984
5,2,V13,0.015625,0.694984
5,2,V14,0.017500,0.694984
5,2,V15,0.033125,0.694984
5,2,V16,0.045000,0.694984
5,2,V17,0.001875,0.694984
5,2,V18,0.026250,0.694984
5,2,V19,0.011250,0.694984
5,2,V20,0.056250,0.694984
5,2,V21,0.046250,0.694984
5,2,V22,0.021875,0.694984
5,2,V23,0.006875,0.694984
5,2,V24,0.013750,0.694984
5,2,V25,0.020625,0.694984
5,2,V26,0.005000,0.694984
5,2,V27,0.006875,0.694984
5,2,V28,0.026250,0.694984
5,2,Amount,0.023125,0.694984
5,3,Time,0.000625,0.662943
5,3,V1,0.001875,0.662943
5,3,V2,0.002500,0.662943
5,3,V3,0.072500,0.662943
5,3,V4,0.043125,0.662943
5,3,V5,0.000625,0.662943
5,3,V6,0.003125,0.662943
5,3,V7,0.000625,0.662943
5,3,V8,0.000625,0.662943
5,3,V9,0.002500,0.662943
5,3,V10,0.018750,0.662943
5,3,V11,0.036875,0.662943
5,3,V12,0.140000,0.662943
5,3,V13,0.001875,0.662943
5,3,V14,0.111875,0.662943
5,3,V15,0.001250,0.662943
5,3,V16,0.025625,0.662943
5,3,V17,0.020000,0.662943
5,3,V18,0.008750,0.662943
5,3,V19,0.001250,0.662943
5,3,V20,0.000000,0.662943
5,3,V21,0.001250,0.662943
5,3,V22,0.003125,0.662943
5,3,V23,0.004375,0.662943
5,3,V24,0.001875,0.662943
5,3,V25,0.003125,0.662943
5,3,V26,0.000625,0.662943
5,3,V27,0.013750,0.662943
5,3,V28,0.001875,0.662943
5,3,Amount,0.005625,0.662943
5,4,Time,0.000000,0.184588
5,4,V1,0.018750,0.184588
5,4,V2,0.009375,0.184588
5,4,V3,0.069375,0.184588
5,4,V4,0.048750,0.184588
5,4,V5,0.005625,0.184588
5,4,V6,0.003125,0.184588
5,4,V7,0.014375,0.184588
5,4,V8,0.001875,0.184588
5,4,V9,0.004375,0.184588
5,4,V10,0.056250,0.184588
5,4,V11,0.011875,0.184588
5,4,V12,0.115000,0.184588
5,4,V13,0.000625,0.184588
5,4,V14,0.085625,0.184588
5,4,V15,0.005000,0.184588
5,4,V16,0.036875,0.184588
5,4,V17,0.032500,0.184588
5,4,V18,0.002500,0.184588
5,4,V19,0.002500,0.184588
5,4,V20,0.004375,0.184588
5,4,V21,0.003125,0.184588
5,4,V22,0.006250,0.184588
5,4,V23,0.000000,0.184588
5,4,V24,0.003125,0.184588
5,4,V25,0.000625,0.184588
5,4,V26,0.005000,0.184588
5,4,V27,0.000000,0.184588
5,4,V28,0.000625,0.184588
5,4,Amount,0.003750,0.184588
5,5,Time,0.006875,0.344499
5,5,V1,0.000000,0.344499
5,5,V2,0.005000,0.344499
5,5,V3,0.058125,0.344499
5,5,V4,0.056875,0.344499
5,5,V5,0.002500,0.344499
5,5,V6,0.001875,0.344499
5,5,V7,0.000625,0.344499
5,5,V8,0.012500,0.344499
5,5,V9,0.007500,0.344499
5,5,V10,0.039375,0.344499
5,5,V11,0.076250,0.344499
5,5,V12,0.123125,0.344499
5,5,V13,0.001875,0.344499
5,5,V14,0.066875,0.344499
5,5,V15,0.008750,0.344499
5,5,V16,0.011875,0.344499
5,5,V17,0.043125,0.344499
5,5,V18,0.006250,0.344499
5,5,V19,0.001875,0.344499
5,5,V20,0.000625,0.344499
5,5,V21,0.003125,0.344499
5,5,V22,0.000000,0.344499
5,5,V23,0.001250,0.344499
5,5,V24,0.004375,0.344499
5,5,V25,0.000000,0.344499
5,5,V26,0.003125,0.344499
5,5,V27,0.008750,0.344499
5,5,V28,0.005000,0.344499
5,5,Amount,0.002500,0.344499
