seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
5,1,MS,MS > 4.60,0.194178,0.024161
5,1,MC,MC > 64.28,0.171387,0.024161
5,1,errors,errors > 0.18,-0.043871,0.024161
5,1,Time,Time > 0.38,-0.027389,0.024161
5,1,UC,UC > 21.22,0.022689,0.024161
5,1,Day,-0.47 < Day <= -0.01,0.018087,0.024161
5,1,Zip,0.66 < Zip <= 0.72,0.017915,0.024161
5,1,MN,MN > 5.07,0.011110,0.024161
5,1,Year,Year > 0.34,-0.010848,0.024161
5,1,Month,Month <= -0.43,0.008135,0.024161
5,2,MC,MC > 59.36,0.200650,0.023262
5,2,MN,MN > 4.25,0.134467,0.023262
5,2,Zip,0.67 < Zip <= 0.72,0.100687,0.023262
5,2,MS,MS > 5.04,0.074604,0.023262
5,2,Year,-0.52 < Year <= -0.12,0.055830,0.023262
5,2,UC,UC > 22.78,0.052160,0.023262
5,2,Amount,0.32 < Amount <= 1.19,-0.026524,0.023262
5,2,MCC,-0.68 < MCC <= -0.17,-0.024701,0.023262
5,2,Month,-0.43 < Month <= -0.03,0.019057,0.023262
5,2,errors,errors > 0.24,-0.012203,0.023262
5,3,MC,-0.02 < MC <= 10.31,-0.154440,0.021799
5,3,MS,MS <= -0.05,-0.114370,0.021799
5,3,UC,0.54 < UC <= 22.18,0.043510,0.021799
5,3,Zip,-0.14 < Zip <= 0.66,0.017031,0.021799
5,3,errors,errors > 0.53,-0.016847,0.021799
5,3,Amount,0.35 < Amount <= 1.26,0.016726,0.021799
5,3,Year,-0.12 < Year <= 0.32,-0.015689,0.021799
5,3,Day,Day > 0.46,-0.013610,0.021799
5,3,Month,Month <= -0.43,-0.010725,0.021799
5,3,MN,-0.10 < MN <= 0.88,0.010176,0.021799
5,4,MC,MC > 68.03,0.115698,0.025064
5,4,MCC,-0.75 < MCC <= -0.17,0.105216,0.025064
5,4,UC,UC > 18.88,0.045989,0.025064
5,4,Amount,0.31 < Amount <= 1.25,-0.044436,0.025064
5,4,MN,MN > 6.02,-0.043775,0.025064
5,4,MS,4.65 < MS <= 5.09,0.039685,0.025064
5,4,Zip,0.67 < Zip <= 0.72,0.033612,0.025064
5,4,Time,-0.43 < Time <= -0.02,0.024128,0.025064
5,4,errors,errors > 0.34,-0.018736,0.025064
5,4,Day,-0.47 < Day <= 0.00,0.018055,0.025064
5,5,MCC,MCC <= -0.60,-0.043337,0.027926
5,5,MS,-0.07 < MS <= 2.96,-0.028781,0.027926
5,5,MN,MN > 4.64,0.027184,0.027926
5,5,Zip,-0.14 < Zip <= 0.67,-0.023756,0.027926
5,5,errors,0.01 < errors <= 0.28,-0.018564,0.027926
5,5,MC,MC <= -0.02,0.015673,0.027926
5,5,Month,Month > 0.29,-0.013472,0.027926
5,5,Year,Year <= -0.50,-0.008305,0.027926
5,5,Amount,Amount > 1.21,0.005353,0.027926
5,5,Day,0.00 < Day <= 0.44,-0.003111,0.027926
