seed,fold,feature,shap_importance,time_to_generate
5,1,Year,0.047000,0.027574
5,1,Month,0.016000,0.027574
5,1,Day,0.006500,0.027574
5,1,Time,0.052000,0.027574
5,1,Amount,0.027500,0.027574
5,1,MCC,0.031750,0.027574
5,1,UC,0.125000,0.027574
5,1,MN,0.125250,0.027574
5,1,MC,0.129750,0.027574
5,1,MS,0.089750,0.027574
5,1,Zip,0.056250,0.027574
5,1,errors,0.000750,0.027574
5,2,Year,0.157250,0.027218
5,2,Month,0.047500,0.027218
5,2,Day,0.108250,0.027218
5,2,Time,0.076000,0.027218
5,2,Amount,0.020500,0.027218
5,2,MCC,0.145750,0.027218
5,2,UC,0.030250,0.027218
5,2,MN,0.109250,0.027218
5,2,MC,0.017500,0.027218
5,2,MS,0.008000,0.027218
5,2,Zip,0.086250,0.027218
5,2,errors,0.076000,0.027218
5,3,Year,0.031500,0.026509
5,3,Month,0.127000,0.026509
5,3,Day,0.018000,0.026509
5,3,Time,0.139750,0.026509
5,3,Amount,0.001250,0.026509
5,3,MCC,0.011500,0.026509
5,3,UC,0.045500,0.026509
5,3,MN,0.121500,0.026509
5,3,MC,0.102500,0.026509
5,3,MS,0.072750,0.026509
5,3,Zip,0.096250,0.026509
5,3,errors,0.011500,0.026509
5,4,Year,0.056250,0.026944
5,4,Month,0.026000,0.026944
5,4,Day,0.009000,0.026944
5,4,Time,0.043750,0.026944
5,4,Amount,0.031750,0.026944
5,4,MCC,0.066750,0.026944
5,4,UC,0.164500,0.026944
5,4,MN,0.001250,0.026944
5,4,MC,0.125750,0.026944
5,4,MS,0.058750,0.026944
5,4,Zip,0.046000,0.026944
5,4,errors,0.043750,0.026944
5,5,Year,0.086250,0.028759
5,5,Month,0.018250,0.028759
5,5,Day,0.032500,0.028759
5,5,Time,0.006500,0.028759
5,5,Amount,0.206000,0.028759
5,5,MCC,0.032250,0.028759
5,5,UC,0.045500,0.028759
5,5,MN,0.192250,0.028759
5,5,MC,0.001500,0.028759
5,5,MS,0.057750,0.028759
5,5,Zip,0.022000,0.028759
5,5,errors,0.002250,0.028759
