seed,fold,feature,raw_feature_desc,lime_importance,time_to_generate
5,1,MC,MC > 64.28,0.349111,0.020559
5,1,MN,MN > 5.07,0.334877,0.020559
5,1,UC,UC > 21.22,0.222335,0.020559
5,1,MS,MS > 4.60,0.216527,0.020559
5,1,Year,Year > 0.34,-0.081816,0.020559
5,1,Zip,0.66 < Zip <= 0.72,0.063946,0.020559
5,1,errors,errors > 0.18,0.023163,0.020559
5,1,MCC,-0.60 < MCC <= -0.17,-0.017618,0.020559
5,1,Time,Time > 0.38,-0.011461,0.020559
5,1,Month,Month <= -0.43,-0.011328,0.020559
5,2,MC,MC > 59.36,0.358189,0.019493
5,2,MN,MN > 4.25,0.318627,0.019493
5,2,UC,UC > 22.78,0.248089,0.019493
5,2,MS,MS > 5.04,0.172210,0.019493
5,2,Zip,0.67 < Zip <= 0.72,0.064206,0.019493
5,2,errors,errors > 0.24,0.027039,0.019493
5,2,Time,Time <= -0.43,0.024624,0.019493
5,2,Year,-0.52 < Year <= -0.12,0.015477,0.019493
5,2,MCC,-0.68 < MCC <= -0.17,-0.013211,0.019493
5,2,Month,-0.43 < Month <= -0.03,-0.006224,0.019493
5,3,MC,-0.02 < MC <= 10.31,-0.110363,0.019217
5,3,MS,MS <= -0.05,-0.110023,0.019217
5,3,MN,-0.10 < MN <= 0.88,-0.105989,0.019217
5,3,UC,0.54 < UC <= 22.18,0.034851,0.019217
5,3,Time,-0.03 < Time <= 0.37,-0.024808,0.019217
5,3,Month,Month <= -0.43,-0.022969,0.019217
5,3,errors,errors > 0.53,0.021033,0.019217
5,3,Year,-0.12 < Year <= 0.32,-0.020296,0.019217
5,3,MCC,-0.67 < MCC <= -0.17,-0.017210,0.019217
5,3,Amount,0.35 < Amount <= 1.26,-0.011812,0.019217
5,4,MN,MN > 6.02,0.343803,0.019433
5,4,MC,MC > 68.03,0.335283,0.019433
5,4,UC,UC > 18.88,0.225057,0.019433
5,4,MS,4.65 < MS <= 5.09,-0.077940,0.019433
5,4,Zip,0.67 < Zip <= 0.72,0.061774,0.019433
5,4,errors,errors > 0.34,0.017994,0.019433
5,4,Year,-0.11 < Year <= 0.36,-0.017472,0.019433
5,4,Day,-0.47 < Day <= 0.00,0.012258,0.019433
5,4,MCC,-0.75 < MCC <= -0.17,-0.010171,0.019433
5,4,Amount,0.31 < Amount <= 1.25,-0.005179,0.019433
5,5,MN,MN > 4.64,0.369999,0.019680
5,5,UC,-0.09 < UC <= 0.57,-0.146871,0.019680
5,5,MC,MC <= -0.02,-0.136192,0.019680
5,5,Amount,Amount > 1.21,0.122861,0.019680
5,5,Year,Year <= -0.50,0.086808,0.019680
5,5,MCC,MCC <= -0.60,-0.038143,0.019680
5,5,MS,-0.07 < MS <= 2.96,-0.029692,0.019680
5,5,Zip,-0.14 < Zip <= 0.67,-0.021956,0.019680
5,5,Month,Month > 0.29,0.018773,0.019680
5,5,Day,0.00 < Day <= 0.44,-0.011917,0.019680
