seed,fold,feature,model_importance
5,1,Year,0.801382
5,1,Month,0.011565
5,1,Day,0.015314
5,1,Time,0.057725
5,1,Amount,0.290924
5,1,MCC,0.148393
5,1,UC,0.111160
5,1,MN,0.038018
5,1,MC,0.003349
5,1,MS,0.006482
5,1,Zip,0.825181
5,1,errors,0.011737
5,2,Year,0.845712
5,2,Month,0.212714
5,2,Day,0.065007
5,2,Time,0.144184
5,2,Amount,0.249718
5,2,MCC,0.104059
5,2,UC,0.112258
5,2,MN,0.029318
5,2,MC,0.003930
5,2,MS,0.004229
5,2,Zip,0.755113
5,2,errors,0.003919
5,3,Year,0.746740
5,3,Month,0.085975
5,3,Day,0.205703
5,3,Time,0.079555
5,3,Amount,0.228731
5,3,MCC,0.104719
5,3,UC,0.111713
5,3,MN,0.037113
5,3,MC,0.002416
5,3,MS,0.019337
5,3,Zip,0.600864
5,3,errors,0.001685
5,4,Year,0.689498
5,4,Month,0.021527
5,4,Day,0.035060
5,4,Time,0.057248
5,4,Amount,0.244552
5,4,MCC,0.078527
5,4,UC,0.132521
5,4,MN,0.036909
5,4,MC,0.002814
5,4,MS,0.008926
5,4,Zip,0.809121
5,4,errors,0.003177
5,5,Year,0.718194
5,5,Month,0.247221
5,5,Day,0.134291
5,5,Time,0.013450
5,5,Amount,0.268757
5,5,MCC,0.120352
5,5,UC,0.164818
5,5,MN,0.033661
5,5,MC,0.002990
5,5,MS,0.002340
5,5,Zip,0.618558
5,5,errors,0.007194
