dataset,algorithm,balanced_accuracy_mean,balanced_accuracy_std,sensitivity_recall_mean,sensitivity_recall_std,specificity_mean,specificity_std,precision_mean,precision_std
ieee-cis,DecisionTree,0.592394,0.022506,0.379006,0.027373,0.805782,0.056237,0.069758,0.015513
ieee-cis,LinearSVC,0.691205,0.002215,0.623210,0.015801,0.759200,0.015311,0.085972,0.003219
ieee-cis,LogisticRegression,0.692028,0.002137,0.629405,0.016233,0.754651,0.015807,0.085284,0.003203
ieee-cis,MLP,0.719751,0.014150,0.620859,0.050701,0.818642,0.041377,0.113575,0.016088
ieee-cis,RandomForest,0.607467,0.026458,0.304525,0.053350,0.910410,0.062439,0.158607,0.095236
kaggle,DecisionTree,0.887631,0.017864,0.777551,0.035814,0.997711,0.000243,0.371501,0.023225
kaggle,LinearSVC,0.941440,0.015601,0.902379,0.031819,0.980501,0.001613,0.074472,0.004902
kaggle,LogisticRegression,0.942726,0.013551,0.909297,0.028156,0.976155,0.001905,0.062155,0.003690
kaggle,MLP,0.901767,0.021179,0.803995,0.042376,0.999540,0.000155,0.756428,0.062985
kaggle,RandomForest,0.911264,0.016717,0.822701,0.033420,0.999828,0.000066,0.893511,0.037852
synthetic,DecisionTree,0.654652,0.034976,0.326356,0.071828,0.982948,0.006216,0.025598,0.008539
synthetic,LinearSVC,0.832031,0.022555,0.771955,0.055450,0.892108,0.013651,0.008975,0.001176
synthetic,LogisticRegression,0.833112,0.021344,0.780653,0.053919,0.885571,0.015361,0.008586,0.001266
synthetic,MLP,0.716891,0.027072,0.443543,0.053955,0.990239,0.002215,0.055964,0.013415
synthetic,RandomForest,0.638490,0.041303,0.278193,0.083106,0.998786,0.000881,0.294983,0.160127
